base	anim	compositor_selector	program_addr	piece_count	palette_line	palette_table	frame_status
0x00F4	0x00	0	0x03d298	9	0x4	0x456EC(fam-2)	VM_LEGAL
0x0DAB	0x74	0	0x03e204	13	0x4	0x456EC(fam-2)	VM_LEGAL
0x09EA	0x74	0	0x03e204	13	0x4	0x456EC(fam-2)	VM_LEGAL
0x0179	0x70	2	0x03fbe4	8	0x1	0x456EC(fam-2)	VM_LEGAL
0x0224	0x07	2	0x03f275	4	0x1	0x456EC(fam-2)	VM_LEGAL
0x0266	0x00	0	0x03d298	9	0x4	0x456EC(fam-2)	VM_LEGAL
0x0235	0x00	0	0x03d298	9	0x4	0x456EC(fam-2)	VM_LEGAL
0x09F6	0x00	2	0x03f1d4	10	0x1	0x456EC(fam-2)	VM_LEGAL
0x01FC	0x00	0	0x03d298	9	0x4	0x456EC(fam-2)	VM_LEGAL
0x0236	0x00	0	0x03d298	9	0x4	0x456EC(fam-2)	VM_LEGAL
0x0546	0x00	0	0x03d298	9	0x4	0x456EC(fam-2)	VM_LEGAL
0x05E9	0x00	0	0x03d298	9	0x4	0x456EC(fam-2)	VM_LEGAL
