round	13E	scene_index	section_kind	phase	source_rom_addr
1	0x00	0	0	phase1	0x050f6b
1	0x01	1	0	phase1	0x050f6c
1	0x02	2	0	phase1	0x050f6d
1	0x03	3	0	phase1	0x050f6e
1	0x04	4	0	phase1	0x050f6f
1	0x05	5	0	phase1	0x050f70
1	0x06	6	0	phase1	0x050f71
1	0x07	7	0	phase1	0x050f72
1	0x08	8	0	phase1	0x050f73
1	0x09	9	0	phase1	0x050f74
1	0x0a	10	0	phase1	0x050f75
1	0x0b	11	0	phase1	0x050f76
1	0x0c	12	0	phase1	0x050f77
1	0x0d	13	0	phase1	0x050f78
1	0x0e	14	0	phase1	0x050f79
1	0x0f	15	0	phase1	0x050f7a
1	0x10	17	0	phase1	0x050f7c
1	0x11	18	1	phase2	0x050f7d
1	0x12	19	0	phase1	0x050f7e
1	0x13	20	0	phase1	0x050f7f
1	0x14	21	0	phase1	0x050f80
1	0x15	22	1	phase2	0x050f81
1	0x16	24	0	phase1	0x050f83
2	0x17	26	0	phase1	0x050f85
2	0x18	27	0	phase1	0x050f86
2	0x19	28	0	phase1	0x050f87
2	0x1a	29	0	phase1	0x050f88
2	0x1b	30	0	phase1	0x050f89
2	0x1c	31	0	phase1	0x050f8a
2	0x1d	32	0	phase1	0x050f8b
2	0x1e	33	0	phase1	0x050f8c
2	0x1f	34	0	phase1	0x050f8d
2	0x20	35	0	phase1	0x050f8e
2	0x21	36	0	phase1	0x050f8f
2	0x22	37	0	phase1	0x050f90
2	0x23	38	0	phase1	0x050f91
2	0x24	39	0	phase1	0x050f92
2	0x25	40	0	phase1	0x050f93
2	0x26	41	0	phase1	0x050f94
2	0x27	43	0	phase1	0x050f96
2	0x28	44	0	phase1	0x050f97
2	0x29	45	0	phase1	0x050f98
2	0x2a	46	0	phase1	0x050f99
2	0x2b	47	1	phase2	0x050f9a
2	0x2c	48	1	phase2	0x050f9b
2	0x2d	50	0	phase1	0x050f9d
3	0x2e	52	0	phase1	0x050f9f
3	0x2f	53	0	phase1	0x050fa0
3	0x30	54	0	phase1	0x050fa1
3	0x31	55	0	phase1	0x050fa2
3	0x32	56	0	phase1	0x050fa3
3	0x33	57	0	phase1	0x050fa4
3	0x34	58	0	phase1	0x050fa5
3	0x35	59	0	phase1	0x050fa6
3	0x36	60	0	phase1	0x050fa7
3	0x37	61	0	phase1	0x050fa8
3	0x38	62	0	phase1	0x050fa9
3	0x39	63	0	phase1	0x050faa
3	0x3a	64	0	phase1	0x050fab
3	0x3b	65	0	phase1	0x050fac
3	0x3c	66	0	phase1	0x050fad
3	0x3d	67	0	phase1	0x050fae
3	0x3e	69	0	phase1	0x050fb0
3	0x3f	70	0	phase1	0x050fb1
3	0x40	71	0	phase1	0x050fb2
3	0x41	72	1	phase2	0x050fb3
3	0x42	73	1	phase2	0x050fb4
3	0x43	74	1	phase2	0x050fb5
3	0x44	76	0	phase1	0x050fb7
4	0x45	78	0	phase1	0x050fb9
4	0x46	79	0	phase1	0x050fba
4	0x47	80	0	phase1	0x050fbb
4	0x48	81	0	phase1	0x050fbc
4	0x49	82	0	phase1	0x050fbd
