marker	branch_pc	input_mode	output_state	dispatch_handler	output_anim	base_source	position_rule	cell_addr_written	confidence	notes
0x31..0x44	0x41a48	hunter(+0x03!=0)	0x1d	0x44082	0x75	state handler 0x44082	0x41ADA: prog/+0x30 gated X/Y	+0x0E (movel a0)	proven	<'E' low band
'E' 0x45	0x41834	hunter(+0x03!=0)	0x18	0x44082	0x91	state handler 0x44082	0x41854: R3 spawns 4-part first	+0x0E (movel a0)	proven	
'F' 0x46	0x41a48	hunter(+0x03!=0)	0x1d	0x44082	0x75	state handler 0x44082	0x41ADA	+0x0E (movel a0)	proven	prog0x57/0x5A spawn linked
'G' 0x47	0x41a14	hunter(+0x03!=0)	0x1c	0x4415a	0x77	state handler 0x4415A	X-8,Y-98	+0x0E (movel a0)	proven	
'H' 0x48	0x41b6c	hunter(+0x03!=0)	0x1e	0x40e88	0x70	RETARGET(0x40E88): base 0x0F4->'O'	0x41B90: round-varying	+0x0E (movel a0)	proven	
'I' 0x49	0x41b32	hunter(+0x03!=0)	0x40	0x4092E(rec_type)	template	TEMPLATE copy A5+0x588 (rec_type=1)	X+8,Y-31; 0x4092E	+0x0E (movel a0)	proven	projectile
'K' 0x4b	0x418a2	hunter(+0x03!=0)	0x19	0x4396a	0x87	state handler 0x4396A	X+8,Y-24; timer=7	+0x0E (movel a0)	proven	
'L' 0x4c	0x418f4	hunter(+0x03!=0)	0x1a	0x43b32	0x7b	state handler 0x43B32	0x419B2/0x419B8; sfx0x13	+0x0E (movel a0)	proven	spawn 0x4354E band
'M' 0x4d	0x419e0	hunter(+0x03!=0)	0x1b	0x43ecc	0x79	state handler 0x43ECC	X+8,Y-64	+0x0E (movel a0)	proven	
'O'..'Q' 0x4f-0x51	0x41bca	hunter(+0x03!=0)	0x20	0x40ede	template	RETARGET(0x40EDE): 0xDAB'I'/0x9EA'a'/0x9EA'q'	0x41C1E/0x41C60; light 0x41BEE	+0x0E (movel a0)	proven	torch/fire
'R'..'V' 0x52-0x56	0x418f4	hunter(+0x03!=0)	0x1a	0x43b32	0x7b	state handler 0x43B32	0x419B2/0x419B8	+0x0E (movel a0)	proven	sfx0x13 for 'U'
'W','X' 0x57-0x58	0x418a2	hunter(+0x03!=0)	0x19	0x4396a	0x87	state handler 0x4396A	X+8,Y-24; timer=7	+0x0E (movel a0)	proven	
'Y'..']' 0x59-0x5d	0x417d2	hunter(+0x03!=0)	0x17	0x43f88	0xef	state handler 0x43F88	X,Y-8(/-32 prog<0x66)	+0x0E (movel a0)	proven	'Y' prog<0x20 spawn 3-part
'^','_','`' 0x5e-0x60	0x41792	hunter(+0x03!=0)	0x16	0x43ae6	0xf1	state handler 0x43AE6	X+8,Y+24(+8 prog0x69)	+0x0E (movel a0)	proven	
'a','b','c' 0x61-0x63	0x416b2	hunter(+0x03!=0)	0x15	0x43840	var	state handler 0x43840	0x416B2 prog-banded X/Y	+0x0E (movel a0)	proven	
'd' 0x64	0x4167e	hunter(+0x03!=0)	0x14	0x4375c	0x01	state handler 0x4375C	X,Y	+0x0E (movel a0)	proven	
'e','f' 0x65-0x66	0x41614	hunter(+0x03!=0)	0x13	0x4375c	3/5	state handler 0x4375C	X,Y+32	+0x0E (movel a0)	proven	prog0x35 spawn 2-part
'g','h','i' 0x67-0x69	0x41596	hunter(+0x03!=0)	0x1a	0x43b32	0x07	state handler 0x43B32	X+16/-8,Y-32; 0x4354E	+0x0E (movel a0)	proven	'g' sfx+spawn
'j','k' 0x6a-0x6b	0x41834	hunter(+0x03!=0)	0x18	0x44082	0x91	state handler 0x44082	0x41854	+0x0E (movel a0)	proven	R3 spawn 4-part
'l','m' 0x6c-0x6d	0x41a48	hunter(+0x03!=0)	0x1d	0x44082	0x75	state handler 0x44082	0x41ADA	+0x0E (movel a0)	proven	
'n','o','p' 0x6e-0x70	0x416b2	hunter(+0x03!=0)	0x15	0x43840	var	state handler 0x43840	0x416B2	+0x0E (movel a0)	proven	prog0x38 'n' spawn 4-part
'q','r' 0x71-0x72	0x414d4	hunter(+0x03!=0)	0x21	0x44082	0x27	state handler 0x44082	X+16,Y-16	+0x0E (movel a0)	proven	prog0x4B/0x4F/0x53 'q' spawn
's','t','u' 0x73-0x75	0x4145a	hunter(+0x03!=0)	0x22	0x43636	0x29	state handler 0x43636	0x41492 char-table XY	+0x0E (movel a0)	proven	
'v','w' 0x76-0x77	0x41596	hunter(+0x03!=0)	0x1a	0x43b32	0x07	state handler 0x43B32	0x41596	+0x0E (movel a0)	proven	
'x' 0x78	0x414d4	hunter(+0x03!=0)	0x21	0x44082	0x27	state handler 0x44082	X+16,Y-16	+0x0E (movel a0)	proven	
'y' 0x79	0x4145a	hunter(+0x03!=0)	0x22	0x43636	0x29	state handler 0x43636	0x41492 (+0x30 -> -4 X)	+0x0E (movel a0)	proven	
'z' 0x7a	0x416b2	hunter(+0x03!=0)	0x15	0x43840	var	state handler 0x43840	0x416B2	+0x0E (movel a0)	proven	
'{' 0x7b	0x414d4	hunter(+0x03!=0)	0x21	0x44082	0x27	state handler 0x44082	X+16,Y-16	+0x0E (movel a0)	proven	
