pc	gate_on_A5+0x13E	consequence
0x40e8e	>= 0x18 / < 0x2f	state 0x1E transform: <0x18 base 0x0F4->'O'; 0x18-0x2E spawn 5-part; >=0x2F step
0x40f74	< 0x10 / < 0x18 / < 0x27 / < 0x4e / < 0x54	state 0x20 retarget: 0xDAB'I' / step / 0x9EA'a' / step / 0x9EA'q'
0x411a4	== 133 (with 0x10CC>=1)	mode==0 floor: abort scan
0x411b4	== 110 (with 0x10CC>=13)	abort scan
0x411f4	set membership {0x31,0x3f,0x47,0x53,0x54,0x58,0x59,0x61,0x66,0x67,0x69,0x6a,0x78,0x7b,0x80,0x84,0x87} + ranges 0x29-0x2b,0x35-0x38	scan budget 0x40 else 0x26
0x41504	== 75 (0x4B) & target 'q'	state 0x21: spawn 2-part linked (0x43F52 @0x408)
0x41536	== 79 (0x4F) & target 'q'	state 0x21: spawn 4-part linked (@0x388)
0x41566	== 83 (0x53) & target 'q'	state 0x21: spawn 4-part linked (@0x348)
0x415b2	== 71 (0x47) & target 'g'	state 0x1A: spawn 4-part linked (@0x388)
0x4163a	== 53 (0x35) & target 'f'	state 0x13: spawn 2-part; anim 5; else +32 X
0x416cc	== 120 (0x78)	state 0x15 X: +16 (target>=0x70) / +56
0x416e6	>= 133 / == 112 / == 100	state 0x15 X offset band (-48 / +32)
0x41728	== 98 (0x62)	state 0x15: skip anim/Y +64 branch
0x41752	== 56 (0x38) & target 'n'	state 0x15: spawn 4-part linked (@0x348)
0x417b4	== 105 (0x69)	state 0x16 Y +8
0x417f0	< 102 (0x66)	state 0x17 Y -32
0x41806	>= 32 (0x20)	state 0x17: (else) 'Y' spawn 3-part (0x43F4E)
0x41974	== 100 (0x64)	state 0x1A(0x418F4) 0x4354E spawn gate
0x4197c	== 112 (0x70)	0x4354E spawn gate
0x41984	== 120 (0x78)	0x4354E spawn gate ('R' excluded)
0x4198c	>= 133 (0x85)	0x4354E spawn gate
0x4199a	< 89 (0x59)	0x4354E spawn gate
0x419b8	== 41 / == 42 / < 54	state 0x1A(0x418F4) Y offset +32 / -16 / -32
0x41a70	== 87 (0x57) & target 'F'	state 0x1D: spawn 3-part linked (@0x3C8)
0x41aa0	== 90 (0x5A) & target 'F' & +0x2F==1	state 0x1D: spawn 2-part linked (@0x408)
0x41ada	< 24 (0x18) & +0x30!=0	state 0x1D pos: X-24,Y+80 else +16/+24
0x41b0a	== 55 (0x37)	state 0x1E X offset 16 else 24
0x41c38	== 83 / == 88 / == 117	state 0x20 X -16 / +16 / -16
0x41c64	progress bands <0x18,<0x25(==0x22 spawn),<0x4d,<0x53,<0x58,==0x70,==0x75,else	state 0x20 Y offset table
0x41c94	== 34 (0x22)	state 0x20: spawn 2-part linked (@0x408)
