state | handler PC | notes
0x00 | 0x41180 | actor_ground_scanner_41180 (state0: latent scanner/hunter)
0x01 | 0x41CF4 | jmp 0x473b8 FLYING-enemy update
0x02 | 0x41CF4 | jmp 0x473b8 FLYING-enemy update
0x03 | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x04 | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x05 | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x06 | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x07 | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x08 | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x09 | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x0A | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x0B | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x0C | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x0D | 0x41CF4 | jmp 0x473b8 FLYING-enemy update
0x0E | 0x41CF4 | jmp 0x473b8 FLYING-enemy update
0x0F | 0x40CCC | ARMORED MAN (base 0x0A73 sword -> 0x0A5A ball&chain, comp2, fam0x0C)
0x10 | 0x40C08 | state0x10 handler (anim-table param setup 0x40c0e)
0x11 | 0x41CEA | braw 0x4684e (state 0x11 handler)
0x12 | 0x41CEE | jmp 0x47140 WALKING-enemy update
0x13 | 0x40E4C | braw 0x4375c
0x14 | 0x40E4C | braw 0x4375c
0x15 | 0x40E50 | braw 0x43840
0x16 | 0x40E54 | braw 0x43ae6
0x17 | 0x40E58 | braw 0x43f88
0x18 | 0x40E5C | braw 0x44082
0x19 | 0x40E60 | braw 0x4396a
0x1A | 0x40E64 | braw 0x43b32
0x1B | 0x40E68 | braw 0x43ecc
0x1C | 0x40E70 | braw 0x44082
0x1D | 0x40E6C | braw 0x4415a
0x1E | 0x40E88 | local marker-check+0x13e gate
0x1F | 0x40EDA | state0x1F
0x20 | 0x40EDE | state0x20
0x21 | 0x40E6C | braw 0x4415a
0x22 | 0x40E48 | braw 0x43636
