world_column,world_x_span,record,cell_count,unique_tile_codes,unique_patterns
0,0-7,0,64,8,8
1,8-15,0,64,8,8
2,16-23,0,64,8,8
3,24-31,0,64,8,8
4,32-39,0,64,9,9
5,40-47,0,64,9,9
6,48-55,0,64,9,9
7,56-63,0,64,9,9
8,64-71,0,64,9,9
9,72-79,0,64,9,9
10,80-87,0,64,9,9
11,88-95,0,64,9,9
12,96-103,0,64,9,9
13,104-111,0,64,9,9
14,112-119,0,64,9,9
15,120-127,0,64,9,9
16,128-135,0,64,9,9
17,136-143,0,64,9,9
18,144-151,0,64,9,9
19,152-159,0,64,9,9
20,160-167,0,64,9,9
21,168-175,0,64,9,9
22,176-183,0,64,9,9
23,184-191,0,64,9,9
24,192-199,0,64,9,9
25,200-207,0,64,9,9
26,208-215,0,64,9,9
27,216-223,0,64,9,9
28,224-231,0,64,9,9
29,232-239,0,64,9,9
30,240-247,0,64,9,9
31,248-255,0,64,9,9
32,256-263,0,64,9,9
33,264-271,0,64,9,9
34,272-279,0,64,9,9
35,280-287,0,64,9,9
36,288-295,0,64,9,9
37,296-303,0,64,9,9
38,304-311,0,64,9,9
39,312-319,0,64,9,9
40,320-327,0,64,9,9
41,328-335,0,64,9,9
42,336-343,0,64,9,9
43,344-351,0,64,9,9
44,352-359,0,64,9,9
45,360-367,0,64,9,9
46,368-375,0,64,9,9
47,376-383,0,64,9,9
48,384-391,0,64,9,9
49,392-399,0,64,9,9
50,400-407,0,64,9,9
51,408-415,0,64,9,9
52,416-423,0,64,9,9
53,424-431,0,64,9,9
54,432-439,0,64,9,9
55,440-447,0,64,9,9
56,448-455,0,64,9,9
57,456-463,0,64,9,9
58,464-471,0,64,9,9
59,472-479,0,64,9,9
60,480-487,0,64,9,9
61,488-495,0,64,9,9
62,496-503,0,64,9,9
63,504-511,0,64,9,9
64,512-519,1,64,9,9
65,520-527,1,64,9,9
66,528-535,1,64,9,9
67,536-543,1,64,9,9
68,544-551,1,64,9,9
69,552-559,1,64,9,9
70,560-567,1,64,9,9
71,568-575,1,64,9,9
72,576-583,1,64,9,9
73,584-591,1,64,9,9
74,592-599,1,64,9,9
75,600-607,1,64,9,9
76,608-615,1,64,9,9
77,616-623,1,64,9,9
78,624-631,1,64,9,9
79,632-639,1,64,9,9
80,640-647,1,64,9,9
81,648-655,1,64,9,9
82,656-663,1,64,9,9
83,664-671,1,64,9,9
84,672-679,1,64,9,9
85,680-687,1,64,9,9
86,688-695,1,64,9,9
87,696-703,1,64,9,9
88,704-711,1,64,9,9
89,712-719,1,64,9,9
90,720-727,1,64,9,9
91,728-735,1,64,9,9
92,736-743,1,64,9,9
93,744-751,1,64,9,9
94,752-759,1,64,9,9
95,760-767,1,64,9,9
96,768-775,1,64,13,13
97,776-783,1,64,13,13
98,784-791,1,64,13,13
99,792-799,1,64,13,13
100,800-807,1,64,16,15
