source_document,source_section,claim_text_short,arcade_pc_or_range,claim_level,raw_c_status,semantic_c_status,coverage_status,notes
Andy_actor_state_machine_decompilation.md,CHECKPOINT A,0x40BAA state dispatcher fully decoded (35/35),0x40BAA;0x40BC2,COMPLETE,raw/00040baa.c,rastan_actor_dispatch.c,COMPLETE,true 16-bit self-relative table now in raw
Andy_actor_state_machine_decompilation.md,CHECKPOINT B,0x033E self-transforming scanner lifecycle proven,0x41180;0x4544E;0x40CCC,COMPLETE,raw/00041180.c;raw/00040ccc.c;raw/0004544e.c,rastan_actor_materialization.c,COMPLETE,"H6 CLOSED: 0x41180 materialization dispatch, position arithmetic and +0x0E cell-address semantics now fully lifted (raw+semantic); upgraded from PARTIAL"
Andy_actor_state_machine_decompilation.md,CHECKPOINT A,armored man 0x40CCC fully decompiled,0x40CCC,COMPLETE,raw/00040ccc.c,rastan_actor_behavior.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,field-schedule installer decoded,0x4A086,COMPLETE,raw/0004a086.c,rastan_actor_creation.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,schedule occupancy scan decoded,0x49F30,COMPLETE,raw/00049f30.c,rastan_actor_creation.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,child hunter creator decoded,0x4103E,COMPLETE,raw/0004103e.c,rastan_actor_creation.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,paired flying-demon init decoded,0x45342,COMPLETE,raw/00045342.c,rastan_actor_creation.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,boss 5-component creator decoded,0x423B2,COMPLETE,raw/000423b2.c,rastan_actor_creation.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,batch/group creator decoded,0x4CD50,COMPLETE,raw/00004cd50.c,rastan_actor_creation.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,record-type + family template loaders,0x4543E;0x4544E,COMPLETE,raw/0004543e.c;raw/0004544e.c,rastan_actor_helpers.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,off-screen retire decoded,0x427B2,COMPLETE,raw/000427b2.c,rastan_actor_creation.c,COMPLETE,
Andy_actor_allocation_initialization_decompilation.md,CHECKPOINT C,boss components mirror 0x423F4,0x423F4,PARTIAL,,rastan_actor_creation.c,PARTIAL,mirror of 0x423B2 into A5+0x648
Andy_actor_behavioral_identity_decompilation.md,H1,record-type table 0x45592 enumerated,0x45592,COMPLETE,,rastan_actor_tables.c,TABLE_DATA,exact values in tables.c
Andy_actor_behavioral_identity_decompilation.md,H1,family template tables enumerated,0x45502;0x45562;0x454BA;0x454D2;0x454EA,COMPLETE,,rastan_actor_tables.c,TABLE_DATA,exact values in tables.c
Andy_actor_behavioral_identity_decompilation.md,H1,per-round boss rectype table,0x444E0,COMPLETE,,rastan_actor_tables.c,TABLE_DATA,{0E
Andy_actor_behavioral_identity_decompilation.md,H2,ground engine 0x47140 decoded,0x47140,COMPLETE,raw/00047140.c,rastan_actor_behavior.c,COMPLETE,
Andy_actor_behavioral_identity_decompilation.md,H3,airborne engine 0x473B8 substantially decoded,0x473B8,PARTIAL,raw/000473b8.c,rastan_actor_behavior.c,PARTIAL,anim tail summarized - downgraded pass1
Andy_actor_behavioral_identity_decompilation.md,H2/H3,shared core 0x3CEB0,0x3CEB0,PARTIAL,raw/0003ceb0.c,rastan_anim_motion_core.c,COMPLETE,H8 CLOSED: anim-frame+motion core fully lifted (0x3CF40/0x3CF52/table 0x3CFD4). STUB->COMPLETE
Andy_actor_behavioral_identity_decompilation.md,H4,boss component update 0x4684E decoded,0x4684E,COMPLETE,raw/0004684e.c,rastan_actor_behavior.c,COMPLETE,
Andy_actor_behavioral_identity_decompilation.md,H5,10/10 dedicated handlers decoded,0x4375C;0x43840;0x43AE6;0x43F88;0x44082;0x43ECC;0x43636,COMPLETE,raw (per PC),rastan_actor_behavior.c,COMPLETE,7 of 10 COMPLETE
Andy_actor_behavioral_identity_decompilation.md,H5,jump/master/char handlers,0x4396A;0x43B32;0x4415A,COMPLETE,raw (per PC),rastan_actor_behavior.c,PARTIAL,DOWNGRADED pass1 - arc/band/char matrices summarized
Andy_actor_behavioral_identity_decompilation.md,H0,parameterized hunter creator 0x45248,0x45248,COMPLETE,raw/00045248.c,rastan_actor_creation.c,COMPLETE,
Andy_4A104_spawn_schedule_semantic_correction.md,schedule,field schedule 0x4A104 block/index decoded,0x4A104;0x4A086;0x49F30,COMPLETE,raw/0004a086.c;raw/00049f30.c,rastan_actor_creation.c,COMPLETE,
Andy_4A000_4C700_scripted_actor_decompilation.md,dispatcher,scene-id scripted-encounter subsystem decompiled (NON-EXHAUSTIVE),0x4A000-0x4C700;0x4AB5C,PARTIAL,raw/0004ab5c.c,rastan_actor_subsystems.c,PARTIAL,doc itself says non-exhaustive; dispatch cascade lifted; handler bodies REFERENCED_ONLY
Andy_scripted_encounter_actor_identity_map.md,routes,scripted routes mapped to rounds (R3 full; R4-6 by family),0x4AB5C-0x4C700,PARTIAL,raw/0004ab5c.c,rastan_actor_subsystems.c,PARTIAL,per-route seed->base PARTIAL historically; not upgraded
