entry_label,selector,frame,state0,state2,state4,round_byte,segment,sprite_ctrl,renderer_mode,block,actor_index,actor_address,active,actor_class,actor_flags2,actor_flags3,actor_state,record_selector,animation,world_x,world_y,base_code,flip,actor_attr,compositor_family,owned_record_start,owned_record_count,piece_records
round3_boss,0xF5,2588,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_5c8,5,0x10C708,0x01,0x00,0x00,0x00,0x03,0x0E,0x00,0x0000,0x0180,0x061D,0x00,0x00,0x01,210,20,210:400F:014B:06B2:FFDC|211:400F:014B:06B3:FFCC|212:400F:015B:06B4:FFE4|213:400F:015B:06B5:FFD4|214:400F:015D:06B6:FFFC|215:400F:015D:06B7:FFEC|216:400F:016D:06B8:0004|217:400F:016D:06B9:FFF4|218:400F:016D:06BA:FFE4|219:400F:017D:06BB:000C|220:400F:017D:06BC:FFFC|221:400F:017D:06BD:FFEC|222:400F:0182:068F:FFFF|223:400F:0182:0690:FFEF|224:400F:0192:0691:0007|225:400F:0192:0692:FFF7|226:400F:0192:0693:FFE7
round3_boss,0xF5,2716,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_5c8,5,0x10C708,0x01,0x00,0x01,0x00,0x10,0x0E,0x00,0x0050,0x0084,0x061D,0x00,0x00,0x01,210,20,210:400F:004F:06B2:002C|211:400F:004F:06B3:001C|212:400F:005F:06B4:0034|213:400F:005F:06B5:0024|214:400F:0061:06B6:004C|215:400F:0061:06B7:003C|216:400F:0071:06B8:0054|217:400F:0071:06B9:0044|218:400F:0071:06BA:0034|219:400F:0081:06BB:005C|220:400F:0081:06BC:004C|221:400F:0081:06BD:003C|222:400F:0086:068F:004F|223:400F:0086:0690:003F|224:400F:0096:0691:0057|225:400F:0096:0692:0047|226:400F:0096:0693:0037
round3_boss,0xF5,2718,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_5c8,5,0x10C708,0x01,0x00,0x01,0x00,0x10,0x0E,0x00,0x0050,0x0084,0x061D,0x00,0x00,0x01,210,20,210:000F:004F:06B2:0063|211:000F:004F:06B3:0073|212:000F:005F:06B4:005B|213:000F:005F:06B5:006B|214:000F:0061:06B6:0043|215:000F:0061:06B7:0053|216:000F:0071:06B8:003B|217:000F:0071:06B9:004B|218:000F:0071:06BA:005B|219:000F:0081:06BB:0033|220:000F:0081:06BC:0043|221:000F:0081:06BD:0053|222:000F:0086:068F:0040|223:000F:0086:0690:0050|224:000F:0096:0691:0038|225:000F:0096:0692:0048|226:000F:0096:0693:0058
round3_boss,0xF5,2772,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_5c8,5,0x10C708,0x01,0x01,0x01,0x00,0x10,0x0E,0x00,0x0050,0x0084,0x061D,0x00,0x00,0x01,210,20,210:000F:004F:06B2:0063|211:000F:004F:06B3:0073|212:000F:005F:06B4:005B|213:000F:005F:06B5:006B|214:000F:0061:06B6:0043|215:000F:0061:06B7:0053|216:000F:0071:06B8:003B|217:000F:0071:06B9:004B|218:000F:0071:06BA:005B|219:000F:0081:06BB:0033|220:000F:0081:06BC:0043|221:000F:0081:06BD:0053|222:000F:0086:068F:0040|223:000F:0086:0690:0050|224:000F:0096:0691:0038|225:000F:0096:0692:0048|226:000F:0096:0693:0058
round3_boss,0xF5,2772,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_748,0,0x10C748,0x01,0x1E,0x00,0x00,0x06,0x0F,0x00,0x009B,0x0013,0x061D,0x00,0x00,0x01,46,6,46:400F:0000:067B:008F|47:400F:0010:067C:008F
round3_boss,0xF5,2772,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_748,1,0x10C788,0x01,0x1A,0x00,0x00,0x06,0x0F,0x00,0x009F,0x0013,0x061D,0x00,0x00,0x01,52,6,52:400F:0000:067B:0093|53:400F:0010:067C:0093
round3_boss,0xF5,2772,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_748,2,0x10C7C8,0x01,0x1A,0x00,0x00,0x07,0x0F,0x00,0x009D,0x0013,0x061D,0x00,0x00,0x01,58,6,58:400F:0000:067B:0097|59:400F:0010:067C:0097
round3_boss,0xF5,2772,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_748,3,0x10C808,0x01,0x1B,0x00,0x00,0x07,0x0F,0x00,0x00A1,0x0013,0x061D,0x00,0x00,0x01,64,6,64:400F:0000:067B:009B|65:400F:0010:067C:009B
round3_boss,0xF5,2772,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_748,4,0x10C848,0x01,0x1C,0x00,0x00,0x07,0x0F,0x00,0x00A5,0x0013,0x061D,0x00,0x00,0x01,70,6,70:400F:0000:067B:009F|71:400F:0010:067C:009F
round3_boss,0xF5,2774,0x0002,0x0003,0x0000,0x01,0x0045,0x0000,0x0002,actor_5c8,5,0x10C708,0x01,0x01,0x01,0x00,0x10,0x0E,0x00,0x0050,0x0085,0x061D,0x00,0x00,0x01,210,20,210:000F:004F:06B2:0063|211:000F:004F:06B3:0073|212:000F:005F:06B4:005B|213:000F:005F:06B5:006B|214:000F:0061:06B6:0043|215:000F:0061:06B7:0053|216:000F:0071:06B8:003B|217:000F:0071:06B9:004B|218:000F:0071:06BA:005B|219:000F:0081:06BB:0033|220:000F:0081:06BC:0043|221:000F:0081:06BD:0053|222:000F:0086:0694:0040|223:000F:0086:0695:0050|224:000F:0096:0696:0040|225:000F:0096:0697:0050
