id,name,aliases,semantic_category,resolution_status,name_status,palette_status,proven_effective_palette_banks,legal_palette_candidates,round_phase_presence,actor_records,actor_classes,spawn_controller_callers,renderer_compositor_families,animation_state_values,composer_tables,representative_codes,composite_dimensions_pixels,palette_derivation,observed_sprite_controls,observed_actor_palette_attributes,static_proof,dynamic_proof,merge_split_rationale,feasibility_treatment,physical_pattern_count,representative_piece_count,unresolved_blockers,representative_png
round1_boss_composite,Round 1 boss composite (semantic name unresolved),[],BOSS,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round1_boss""]",[],"[""0x00"",""0x01"",""0x02"",""0x03"",""0x08"",""0x09"",""0x0A"",""0x0B"",""0x0C"",""0x0D"",""0x0E"",""0x0F"",""0x10"",""0x11"",""0x14"",""0x1A"",""0x1B"",""0x1C"",""0x1D"",""0x1E"",""0x1F"",""0x9D"",""0x9E"",""0x9F"",""0xA0""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader"",""arcade_pc 0x041F30 boss PC090OJ ownership path""]","[""0x00"",""0x01""]","[""0x00"",""0x01"",""0x02"",""0x03"",""0x04"",""0x05""]","[""arcade_rom/data 0x03D09E"",""arcade_rom/data 0x04771C""]","[1659,1660,1679,1680,1681,1682,1683,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725]","{""width"":124,""height"":166}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[0],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 2772 at round1_boss""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,19,27,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/round1_boss_composite.png
round2_boss_composite,Round 2 boss composite (semantic name unresolved),[],BOSS,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round2_boss""]",[],"[""0x00"",""0x01"",""0x02"",""0x03"",""0x08"",""0x09"",""0x0A"",""0x0B"",""0x0C"",""0x0D"",""0x0E"",""0x0F"",""0x10"",""0x11"",""0x14"",""0x19"",""0x1A"",""0x1B"",""0x1C"",""0x1D"",""0x1E"",""0x1F"",""0x9D"",""0x9E"",""0x9F"",""0xA0""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader"",""arcade_pc 0x041F30 boss PC090OJ ownership path""]","[""0x00"",""0x01""]","[""0x00"",""0x01"",""0x02"",""0x03"",""0x04"",""0x05""]","[""arcade_rom/data 0x03D09E"",""arcade_rom/data 0x04771C""]","[648,649,650,651,652,653,1659,1660,1668,1672,1684,1685,1686,1687,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725]","{""width"":212,""height"":234}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[0],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 2944 at round2_boss""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,26,28,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/round2_boss_composite.png
round3_boss_composite,Round 3 boss composite (semantic name unresolved),[],BOSS,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round3_boss""]",[],"[""0x00"",""0x01"",""0x02"",""0x03"",""0x08"",""0x09"",""0x0A"",""0x0B"",""0x0C"",""0x0D"",""0x0E"",""0x0F"",""0x10"",""0x11"",""0x14"",""0x19"",""0x1A"",""0x1B"",""0x1C"",""0x1D"",""0x1E"",""0x1F"",""0x9D"",""0x9E"",""0x9F"",""0xA0""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader"",""arcade_pc 0x041F30 boss PC090OJ ownership path""]","[""0x00"",""0x01""]","[""0x00"",""0x02"",""0x04""]","[""arcade_rom/data 0x03D09E"",""arcade_rom/data 0x04771C""]","[648,649,650,651,652,653,673,675,676,677,679,680,1671,1692,1693,1694,1695,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725]","{""width"":123,""height"":148}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[0],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3600 at round3_boss""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,29,29,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/round3_boss_composite.png
round4_boss_composite,Round 4 boss composite (semantic name unresolved),[],BOSS,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round4_boss""]",[],"[""0x00"",""0x01"",""0x02"",""0x03"",""0x08"",""0x09"",""0x0A"",""0x0B"",""0x0C"",""0x0D"",""0x0E"",""0x0F"",""0x10"",""0x11"",""0x14"",""0x19"",""0x1A"",""0x1B"",""0x1C"",""0x1D"",""0x1E"",""0x1F"",""0x9D"",""0x9E"",""0x9F"",""0xA0""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader"",""arcade_pc 0x041F30 boss PC090OJ ownership path""]","[""0x00"",""0x01""]","[""0x00"",""0x01"",""0x02"",""0x03"",""0x04"",""0x05""]","[""arcade_rom/data 0x03D09E"",""arcade_rom/data 0x04771C""]","[1659,1660,1679,1680,1681,1682,1683,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725]","{""width"":124,""height"":166}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[0],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 2772 at round4_boss""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,19,27,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/round4_boss_composite.png
round5_boss_composite,Round 5 boss composite (semantic name unresolved),[],BOSS,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round5_boss""]",[],"[""0x00"",""0x01"",""0x02"",""0x03"",""0x08"",""0x09"",""0x0A"",""0x0B"",""0x0C"",""0x0D"",""0x0E"",""0x0F"",""0x10"",""0x11"",""0x14"",""0x19"",""0x1A"",""0x1B"",""0x1C"",""0x1D"",""0x1E"",""0x1F"",""0x9D"",""0x9E"",""0x9F"",""0xA0""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader"",""arcade_pc 0x041F30 boss PC090OJ ownership path""]","[""0x00"",""0x01""]","[""0x00"",""0x01"",""0x02"",""0x03"",""0x04"",""0x05""]","[""arcade_rom/data 0x03D09E"",""arcade_rom/data 0x04771C""]","[648,649,650,651,652,653,654,655,657,658,660,661,1659,1660,1671,1692,1693,1694,1695,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725]","{""width"":173,""height"":230}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[0],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3674 at round5_boss""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,31,32,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/round5_boss_composite.png
round6_boss_composite,Round 6 boss composite (semantic name unresolved),[],BOSS,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round6_boss""]",[],"[""0x00"",""0x01"",""0x02"",""0x03"",""0x08"",""0x09"",""0x0A"",""0x0B"",""0x0C"",""0x0D"",""0x0E"",""0x0F"",""0x10"",""0x11"",""0x14"",""0x1A"",""0x1B"",""0x1C"",""0x1D"",""0x1E"",""0x1F"",""0x9D"",""0x9E"",""0x9F"",""0xA0""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader"",""arcade_pc 0x041F30 boss PC090OJ ownership path""]","[""0x00"",""0x01""]","[""0x00"",""0x01"",""0x02"",""0x03"",""0x04"",""0x05""]","[""arcade_rom/data 0x03D09E"",""arcade_rom/data 0x04771C""]","[1659,1660,1679,1680,1681,1682,1683,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725]","{""width"":124,""height"":131}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[0],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 2772 at round6_boss""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,19,27,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/round6_boss_composite.png
aux_8c8_base0268_compositor0,ACTOR_8C8_BASE_0268_COMPOSITOR_0,[],EFFECT / TRANSIENT,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round1_phase1""]",[],"[""0xB9"",""0xBA"",""0xBB""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00""]","[""arcade_rom/data 0x03D09E""]",[],,effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[128],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3808 at round1_phase1""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,0,0,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/aux_8c8_base0268_compositor0.png
aux_8c8_base0275_compositor0,ACTOR_8C8_BASE_0275_COMPOSITOR_0,[],EFFECT / TRANSIENT,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round1_phase1""]",[],"[""0xA8""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00""]","[""arcade_rom/data 0x03D09E""]",[],,effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[128],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3912 at round1_phase1""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,0,0,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/aux_8c8_base0275_compositor0.png
transient_effect,Transient effect classes,[],EFFECT / TRANSIENT,unresolved,provisional,unknown,[],"[48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]",[],[],[],[],[],[],[],[],,,[],[],"[""conservative semantic class for legal graphics-bearing effects not otherwise resolved""]",[],Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,0,0,"[""exact family/route merge"",""composer pieces"",""palette bank""]",sprites/transient_effect.png
collision_marker40_route,Marker 0x40 hostile-route candidate,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]",[],[],[],[],[],[],[],[],,,[],[],"[""original arcade map semantics; conservatively retained until the marker route is classified""]",[],Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,0,0,"[""exact family/route merge"",""composer pieces"",""palette bank""]",sprites/collision_marker40_route.png
