family_id,name,round1_phase1,round1_castle,round1_boss,round2_phase1,round2_castle,round2_boss,round3_phase1,round3_castle,round3_boss,round4_phase1,round4_castle,round4_boss,round5_phase1,round5_castle,round5_boss,round6_phase1,round6_castle,round6_boss,static_only_or_unobserved
round1_boss_composite,Round 1 boss composite (semantic name unresolved),,,YES,,,,,,,,,,,,,,,,
round2_boss_composite,Round 2 boss composite (semantic name unresolved),,,,,,YES,,,,,,,,,,,,,
round3_boss_composite,Round 3 boss composite (semantic name unresolved),,,,,,,,,YES,,,,,,,,,,
round4_boss_composite,Round 4 boss composite (semantic name unresolved),,,,,,,,,,,,YES,,,,,,,
round5_boss_composite,Round 5 boss composite (semantic name unresolved),,,,,,,,,,,,,,,YES,,,,
round6_boss_composite,Round 6 boss composite (semantic name unresolved),,,,,,,,,,,,,,,,,,YES,
aux_8c8_base0268_compositor0,ACTOR_8C8_BASE_0268_COMPOSITOR_0,YES,,,,,,,,,,,,,,,,,,
aux_8c8_base0275_compositor0,ACTOR_8C8_BASE_0275_COMPOSITOR_0,YES,,,,,,,,,,,,,,,,,,
transient_effect,Transient effect classes,,,,,,,,,,,,,,,,,,,YES
collision_marker40_route,Marker 0x40 hostile-route candidate,,,,,,,,,,,,,,,,,,,YES
collision_marker41_route,Marker 0x41 hostile-route candidate,,,,,,,,,,,,,,,,,,,YES
collision_marker49_special_route,Marker 0x49 special-route candidate,,,,,,,,,,,,,,,,,,,YES
collision_marker4f_behavior20_route,Marker 0x4F behavior-0x20 candidate,,,,,,,,,,,,,,,,,,,YES
four_armed_enemy,Four-armed enemy,,,,,,,,,,,,,,,,,,,YES
hostile_base004b_compositor0,Stage-1 Lizardman,YES,,,YES,,,,,,YES,,,YES,,,YES,,,
hostile_base00d0_compositor0,HOSTILE_BASE_00D0_COMPOSITOR0_UNRESOLVED,,,,,,,,,,,,,YES,,,YES,YES,,
hostile_base0179_compositor0,HOSTILE_BASE_0179_COMPOSITOR0_UNRESOLVED,YES,,,,,,,,,,,,,,,,,,
hostile_base01cb_compositor0,HOSTILE_BASE_01CB_COMPOSITOR0_UNRESOLVED,,,,,,,,,,,,,,YES,,,YES,,
hostile_base0275_compositor0,HOSTILE_BASE_0275_COMPOSITOR0_UNRESOLVED,,,,,,,,YES,,,,,,,,,,,
hostile_base02e8_compositor0,HOSTILE_BASE_02E8_COMPOSITOR0_UNRESOLVED,,,,,,,YES,,,YES,,,,,,YES,,,
hostile_base033e_multi_compositor,HOSTILE_BASE_033E_MULTI_COMPOSITOR_UNRESOLVED,,YES,,,,,,YES,,,YES,,,YES,,,YES,,
hostile_base03b3_compositor0,HOSTILE_BASE_03B3_COMPOSITOR0_UNRESOLVED,,,,,,,,,,YES,,,YES,,,YES,,,
hostile_base0400_compositor1,HOSTILE_BASE_0400_COMPOSITOR1_UNRESOLVED,,,,YES,,,,,,,,,YES,,,,,,
hostile_base0420_compositor0,HOSTILE_BASE_0420_COMPOSITOR0_UNRESOLVED,,,,,,,YES,,,,,,YES,,,YES,,,
hostile_base0a5a_compositor2,HOSTILE_BASE_0A5A_COMPOSITOR2_UNRESOLVED,YES,YES,,YES,,,,YES,,,,,,,,YES,,,
