arcade_pc	name	entry	body_min	body_max	instruction_count	callers	callees
0x000000	vector_2e_target_000000	0x000000	0x000000	0x00002C	12		
0x000100	FUN_00000100	0x000100	0x000100	0x0006A8	34	0x03AE86:startup_common_body	0x00052A:FUN_0000052a,0x0003A4:FUN_000003a4,0x000252:FUN_00000252,0x0004A2:FUN_000004a2,0x00016A:FUN_0000016a,0x000264:FUN_00000264,0x000502:FUN_00000502,0x0005CC:FUN_000005cc,0x0002CA:FUN_000002ca,0x00038E:FUN_0000038e,0x0001E2:FUN_000001e2,0x000180:FUN_00000180
0x00016A	FUN_0000016a	0x00016A	0x00016A	0x00017E	5	0x000100:FUN_00000100	
0x000180	FUN_00000180	0x000180	0x000180	0x0001C0	18	0x000100:FUN_00000100	0x0001C2:FUN_000001c2,0x0001E2:FUN_000001e2
0x0001C2	FUN_000001c2	0x0001C2	0x0001C2	0x0001D6	8	0x000180:FUN_00000180	0x0001D8:FUN_000001d8
0x0001D8	FUN_000001d8	0x0001D8	0x0001D8	0x0001E0	3	0x0001C2:FUN_000001c2	0x0001E2:FUN_000001e2,0x000210:FUN_00000210
0x0001E2	FUN_000001e2	0x0001E2	0x0001E2	0x00020E	12	0x000100:FUN_00000100,0x0001D8:FUN_000001d8,0x0005CC:FUN_000005cc,0x000180:FUN_00000180	0x0006AA:FUN_000006aa
0x000210	FUN_00000210	0x000210	0x000210	0x000238	10	0x0001D8:FUN_000001d8	0x0006AA:FUN_000006aa
0x000252	FUN_00000252	0x000252	0x000252	0x000262	5	0x000100:FUN_00000100,0x00057C:FUN_0000057c	
0x000264	FUN_00000264	0x000264	0x000264	0x0002A4	23	0x000100:FUN_00000100	
0x0002CA	FUN_000002ca	0x0002CA	0x0002CA	0x00034E	36	0x000100:FUN_00000100	0x000350:FUN_00000350
0x000350	FUN_00000350	0x000350	0x000350	0x00038C	16	0x0002CA:FUN_000002ca	
