arcade_pc	instruction	function	references_from	note
0x000392	jsr 0x0003bb48.l	FUN_0000038e	UNCONDITIONAL_CALL:0003bb48	manual review for dynamic dispatch/table
0x0005C0	jsr 0x0003bb48.l	FUN_0000057c	UNCONDITIONAL_CALL:0003bb48	manual review for dynamic dispatch/table
0x039FA6	jmp (A0)	warm_restart_watchdog_gate		manual review for dynamic dispatch/table
0x03A05C	lea (0xe,PC),A0	vector_1d_target_03a008	DATA:0003a06c	manual review for dynamic dispatch/table
0x03A064	lea (0x6,PC),A0	vector_1d_target_03a008	DATA:0003a06c	manual review for dynamic dispatch/table
0x03A06A	jmp (A0)	vector_1d_target_03a008		manual review for dynamic dispatch/table
0x03A074	jsr 0x00055ca2.l		UNCONDITIONAL_CALL:00055ca2	manual review for dynamic dispatch/table
0x03A084	jsr 0x000510c6.l	FUN_0003a080	UNCONDITIONAL_CALL:000510c6	manual review for dynamic dispatch/table
0x03A818	jsr 0x00045dfa.l		UNCONDITIONAL_CALL:00045dfa	manual review for dynamic dispatch/table
0x03AD98	jsr 0x0005b512.l	FUN_0003ad72	UNCONDITIONAL_CALL:0005b512	manual review for dynamic dispatch/table
0x03AF9C	lea (0x72,PC),A0	startup_common_body	DATA:0003b010	manual review for dynamic dispatch/table
0x03AFB0	lea (0x66,PC),A0	startup_common_body	DATA:0003b018	manual review for dynamic dispatch/table
0x03B032	jsr 0x0005ffa2.l	startup_common_body	UNCONDITIONAL_CALL:0005ffa2	manual review for dynamic dispatch/table
0x03B044	jsr 0x0005ffb2.l	startup_common_body	UNCONDITIONAL_CALL:0005ffb2	manual review for dynamic dispatch/table
0x03B056	jmp 0x00000100.l	startup_common_body	UNCONDITIONAL_CALL:00000100	manual review for dynamic dispatch/table
0x03B0C2	lea (0x10,PC),A0	FUN_0003b0c2	DATA:0003b0d4	manual review for dynamic dispatch/table
0x03B808	lea (0x74,PC),A0	pc090oj_sprite_producer_3b802	DATA:0003b87e	manual review for dynamic dispatch/table
0x03B8B0	lea (0x9e,PC),A0	FUN_0003b8b0	DATA:0003b950	manual review for dynamic dispatch/table
0x03B8C8	lea (0xe6,PC),A0	FUN_0003b8b0	DATA:0003b9b0	manual review for dynamic dispatch/table
0x03B8D8	lea (0xfa,PC),A0	FUN_0003b8b0	DATA:0003b9d4	manual review for dynamic dispatch/table
0x03B90C	lea (0x76,PC),A0	FUN_0003b902	DATA:0003b984	manual review for dynamic dispatch/table
0x03B942	jsr 0x0005b512.l	pc090oj_sprite_producer_3b930	UNCONDITIONAL_CALL:0005b512	manual review for dynamic dispatch/table
0x03BA26	lea (0x60,PC),A1	FUN_0003ba20	DATA:0003ba88	manual review for dynamic dispatch/table
0x03BB50	lea (0x2a,PC),A0	FUN_0003bb48	DATA:0003bb7c	manual review for dynamic dispatch/table
0x03C2EA	lea (0x90,PC),A0	FUN_0003c2e2	DATA:0003c37c	manual review for dynamic dispatch/table
0x03C53E	jsr 0x0005b512.l	FUN_0003c516	UNCONDITIONAL_CALL:0005b512	manual review for dynamic dispatch/table
0x03C72E	jsr 0x0005b512.l	FUN_0003c70a	UNCONDITIONAL_CALL:0005b512	manual review for dynamic dispatch/table
0x03CF56	lea (0x7c,PC),A0	FUN_0003cf52	DATA:0003cfd4	manual review for dynamic dispatch/table
0x03D064	jmp 0x0004770e.l	FUN_0003d054	UNCONDITIONAL_CALL:0004770e	manual review for dynamic dispatch/table
0x03D070	jmp 0x0003f0bc.l	FUN_0003d054	UNCONDITIONAL_CALL:0003f0bc	manual review for dynamic dispatch/table
0x03D07C	jmp 0x0003ffdc.l	FUN_0003d054	UNCONDITIONAL_CALL:0003ffdc	manual review for dynamic dispatch/table
0x03D088	jmp 0x0003fff0.l	FUN_0003d054	UNCONDITIONAL_CALL:0003fff0	manual review for dynamic dispatch/table
0x03D08E	move.w (0x3d09e,PC,D0w*0x1),D0w	FUN_0003d054	DATA:0003d09e	manual review for dynamic dispatch/table
0x03D092	lea (0xa,PC),A0	FUN_0003d054	DATA:0003d09e	manual review for dynamic dispatch/table
0x03D098	jmp 0x0003c902.l	FUN_0003d054	UNCONDITIONAL_CALL:0003c902	manual review for dynamic dispatch/table
0x03F0BC	lea (0x10,PC),A0	FUN_0003f0bc	DATA:0003f0ce	manual review for dynamic dispatch/table
0x03F0C4	lea (0x8,PC),A0	FUN_0003f0bc	DATA:0003f0ce	manual review for dynamic dispatch/table
0x03FFDC	lea (0x26,PC),A0	FUN_0003ffdc	DATA:00040004	manual review for dynamic dispatch/table
0x03FFE4	lea (0x1e,PC),A0	FUN_0003ffdc	DATA:00040004	manual review for dynamic dispatch/table
