arcade_pc	instruction	operand_index	scalar	scalar_space	function
0x000000	ori.b #0x0,(A0)	0	0x000000	arcade_ROM	vector_2e_target_000000
0x000004	ori.b #0x0,D3b	0	0x000000	arcade_ROM	vector_2e_target_000000
0x000008	ori.b #-0x34,(A1)	0	0x0000CC	arcade_ROM	vector_2e_target_000000
0x00000C	ori.b #-0x18,(A1)	0	0x0000E8	arcade_ROM	vector_2e_target_000000
0x000010	ori.b #0x8,(A1)	0	0x000008	arcade_ROM	vector_2e_target_000000
0x000014	ori.b #0x30,(A1)	0	0x000030	arcade_ROM	vector_2e_target_000000
0x000018	ori.b #0x50,(A1)	0	0x000050	arcade_ROM	vector_2e_target_000000
0x00001C	ori.b #0x74,(A1)	0	0x000074	arcade_ROM	vector_2e_target_000000
0x000020	ori.b #-0x66,(A1)	0	0x00009A	arcade_ROM	vector_2e_target_000000
0x000024	ori.b #-0x3c,(A1)	0	0x0000C4	arcade_ROM	vector_2e_target_000000
0x000028	ori.b #-0x22,(A1)	0	0x0000DE	arcade_ROM	vector_2e_target_000000
0x00002C	ori.b #0x2,(A1)	0	0x000002	arcade_ROM	vector_2e_target_000000
0x000100	bsr.w 0x0000016a	0	0x00016A	arcade_ROM	FUN_00000100
0x000104	bsr.w 0x00000264	0	0x000264	arcade_ROM	FUN_00000100
0x000108	bsr.w 0x00000180	0	0x000180	arcade_ROM	FUN_00000100
0x00010C	clr.w (0xa,A5)	0	0x00000A	arcade_ROM	FUN_00000100
0x000110	bsr.w 0x00000180	0	0x000180	arcade_ROM	FUN_00000100
0x000114	bsr.w 0x0000052a	0	0x00052A	arcade_ROM	FUN_00000100
0x000118	bsr.w 0x000002ca	0	0x0002CA	arcade_ROM	FUN_00000100
0x00011C	move.w (0x2,A5),D4w	0	0x000002	arcade_ROM	FUN_00000100
0x000122	bne.b 0x00000132	0	0x000132	arcade_ROM	FUN_00000100
0x000124	btst.b #0x3,(0x00390007).l	0	0x000003	arcade_ROM	FUN_00000100
0x000124	btst.b #0x3,(0x00390007).l	1	0x390007	arcade_inputs	FUN_00000100
0x00012C	bne.b 0x00000164	0	0x000164	arcade_ROM	FUN_00000100
0x00012E	addq.w #0x1,(0x2,A5)	0	0x000001	arcade_ROM	FUN_00000100
0x00012E	addq.w #0x1,(0x2,A5)	1	0x000002	arcade_ROM	FUN_00000100
0x000132	cmpi.w #0x2,D4w	0	0x000002	arcade_ROM	FUN_00000100
0x000136	bge.b 0x00000156	0	0x000156	arcade_ROM	FUN_00000100
0x000138	bsr.w 0x00000502	0	0x000502	arcade_ROM	FUN_00000100
0x00013C	bsr.w 0x0000038e	0	0x00038E	arcade_ROM	FUN_00000100
0x000140	cmpi.w #-0x1,(0xa,A5)	0	0x00FFFF	arcade_ROM	FUN_00000100
0x000140	cmpi.w #-0x1,(0xa,A5)	1	0x00000A	arcade_ROM	FUN_00000100
0x000146	beq.w 0x00000690	0	0x000690	arcade_ROM	FUN_00000100
0x00014A	move.b #-0x11,D0b	0	0x0000EF	arcade_ROM	FUN_00000100
0x00014E	bsr.w 0x000001e2	0	0x0001E2	arcade_ROM	FUN_00000100
0x000152	addq.w #0x1,(0x2,A5)	0	0x000001	arcade_ROM	FUN_00000100
0x000152	addq.w #0x1,(0x2,A5)	1	0x000002	arcade_ROM	FUN_00000100
0x000156	bsr.w 0x000003a4	0	0x0003A4	arcade_ROM	FUN_00000100
0x00015A	bsr.w 0x000005cc	0	0x0005CC	arcade_ROM	FUN_00000100
0x00015E	bsr.w 0x00000252	0	0x000252	arcade_ROM	FUN_00000100
