start	end	size	note
0x000030	0x0000FF	0xD0	unclassified data or unanalyzed code
0x00023A	0x000251	0x18	unclassified data or unanalyzed code
0x0002A6	0x0002C9	0x24	unclassified data or unanalyzed code
0x0004E2	0x000501	0x20	unclassified data or unanalyzed code
0x0006BA	0x039F7F	0x398C6	unclassified data or unanalyzed code
0x039FAE	0x039FFF	0x52	unclassified data or unanalyzed code
0x03A06C	0x03A073	0x8	small gap/data/alignment
0x03A116	0x03A125	0x10	unclassified data or unanalyzed code
0x03A15A	0x03A2CF	0x176	unclassified data or unanalyzed code
0x03A2D8	0x03A551	0x27A	unclassified data or unanalyzed code
0x03A566	0x03A7BB	0x256	unclassified data or unanalyzed code
0x03A7CE	0x03A7DF	0x12	unclassified data or unanalyzed code
0x03A7FA	0x03A803	0xA	small gap/data/alignment
0x03A832	0x03A843	0x12	unclassified data or unanalyzed code
0x03A860	0x03AB7B	0x31C	unclassified data or unanalyzed code
0x03AB82	0x03AB83	0x2	small gap/data/alignment
0x03AD4C	0x03AD71	0x26	unclassified data or unanalyzed code
0x03ADBC	0x03ADD7	0x1C	unclassified data or unanalyzed code
0x03AE5A	0x03AE63	0xA	small gap/data/alignment
0x03B010	0x03B01F	0x10	unclassified data or unanalyzed code
0x03B08A	0x03B08B	0x2	small gap/data/alignment
0x03B0D4	0x03B70F	0x63C	unclassified data or unanalyzed code
0x03B724	0x03B801	0xDE	unclassified data or unanalyzed code
0x03B87E	0x03B8AF	0x32	unclassified data or unanalyzed code
0x03B8EE	0x03B901	0x14	unclassified data or unanalyzed code
0x03B926	0x03B92F	0xA	small gap/data/alignment
0x03B950	0x03B9F7	0xA8	unclassified data or unanalyzed code
0x03BA88	0x03BB47	0xC0	unclassified data or unanalyzed code
0x03BB7C	0x03C2E1	0x766	unclassified data or unanalyzed code
0x03C37C	0x03C4D1	0x156	unclassified data or unanalyzed code
0x03CA38	0x03CF3F	0x508	unclassified data or unanalyzed code
0x03CFD4	0x03D053	0x80	unclassified data or unanalyzed code
0x03D09E	0x03EEF9	0x1E5C	unclassified data or unanalyzed code
0x03F0AC	0x03F0BB	0x10	unclassified data or unanalyzed code
0x03F0CE	0x03FFDB	0xF0E	unclassified data or unanalyzed code
0x040004	0x04092D	0x92A	unclassified data or unanalyzed code
0x04096C	0x041047	0x6DC	unclassified data or unanalyzed code
0x041064	0x0410AF	0x4C	unclassified data or unanalyzed code
0x04114A	0x041D07	0xBBE	unclassified data or unanalyzed code
0x041D26	0x041DAD	0x88	unclassified data or unanalyzed code
0x041F0E	0x041F2F	0x22	unclassified data or unanalyzed code
0x041F96	0x04243B	0x4A6	unclassified data or unanalyzed code
0x0424C8	0x042807	0x340	unclassified data or unanalyzed code
0x04281A	0x042A87	0x26E	unclassified data or unanalyzed code
0x042A8E	0x042B0F	0x82	unclassified data or unanalyzed code
0x042B28	0x042BC7	0xA0	unclassified data or unanalyzed code
0x042BFA	0x042C07	0xE	small gap/data/alignment
0x042C42	0x042C47	0x6	small gap/data/alignment
0x042C4E	0x042C87	0x3A	unclassified data or unanalyzed code
0x042D26	0x042D2B	0x6	small gap/data/alignment
0x042D42	0x042E37	0xF6	unclassified data or unanalyzed code
0x042EF8	0x042F5D	0x66	unclassified data or unanalyzed code
0x042FB0	0x0432FB	0x34C	unclassified data or unanalyzed code
0x043316	0x0447EF	0x14DA	unclassified data or unanalyzed code
0x044804	0x0448B1	0xAE	unclassified data or unanalyzed code
0x0448D8	0x045247	0x970	unclassified data or unanalyzed code
0x04527E	0x04533F	0xC2	unclassified data or unanalyzed code
0x045418	0x04543D	0x26	unclassified data or unanalyzed code
0x04544E	0x045469	0x1C	unclassified data or unanalyzed code
0x045494	0x045A9F	0x60C	unclassified data or unanalyzed code
0x045AB6	0x045B17	0x62	unclassified data or unanalyzed code
0x045C0C	0x045CDF	0xD4	unclassified data or unanalyzed code
0x045EFA	0x045F87	0x8E	unclassified data or unanalyzed code
0x045F94	0x045FAB	0x18	unclassified data or unanalyzed code
0x045FCA	0x045FCF	0x6	small gap/data/alignment
0x046000	0x046017	0x18	unclassified data or unanalyzed code
0x046048	0x04605F	0x18	unclassified data or unanalyzed code
0x046082	0x0460EF	0x6E	unclassified data or unanalyzed code
0x046106	0x046113	0xE	small gap/data/alignment
0x04612E	0x046137	0xA	small gap/data/alignment
0x046178	0x04617F	0x8	small gap/data/alignment
0x0461B4	0x04638B	0x1D8	unclassified data or unanalyzed code
0x0463AA	0x0463F7	0x4E	unclassified data or unanalyzed code
0x046400	0x04678F	0x390	unclassified data or unanalyzed code
0x04679A	0x046AB3	0x31A	unclassified data or unanalyzed code
0x046B30	0x046BC3	0x94	unclassified data or unanalyzed code
0x046BE0	0x046C7B	0x9C	unclassified data or unanalyzed code
0x046C8C	0x046CBB	0x30	unclassified data or unanalyzed code
0x046CFE	0x046D07	0xA	small gap/data/alignment
0x046D36	0x046D47	0x12	unclassified data or unanalyzed code
0x046D78	0x047003	0x28C	unclassified data or unanalyzed code
0x04708C	0x047369	0x2DE	unclassified data or unanalyzed code
0x0473B8	0x047483	0xCC	unclassified data or unanalyzed code
0x04748C	0x0474C5	0x3A	unclassified data or unanalyzed code
0x0474EE	0x0474F1	0x4	small gap/data/alignment
0x047530	0x047535	0x6	small gap/data/alignment
0x047562	0x047565	0x4	small gap/data/alignment
0x04757E	0x047581	0x4	small gap/data/alignment
0x0475AC	0x0475B3	0x8	small gap/data/alignment
0x04766C	0x047683	0x18	unclassified data or unanalyzed code
0x04768E	0x0476C3	0x36	unclassified data or unanalyzed code
0x0476E0	0x047703	0x24	unclassified data or unanalyzed code
0x04771C	0x04AEF7	0x37DC	unclassified data or unanalyzed code
0x04AF1A	0x04AF37	0x1E	unclassified data or unanalyzed code
0x04AF3A	0x04BBC9	0xC90	unclassified data or unanalyzed code
0x04BBF2	0x04C9DB	0xDEA	unclassified data or unanalyzed code
0x04C9EA	0x04CA1B	0x32	unclassified data or unanalyzed code
0x04CA50	0x04CFDB	0x58C	unclassified data or unanalyzed code
0x04D00C	0x0510C5	0x40BA	unclassified data or unanalyzed code
0x0510C8	0x05196F	0x8A8	unclassified data or unanalyzed code
0x051976	0x0519A7	0x32	unclassified data or unanalyzed code
0x0519DE	0x0519EF	0x12	unclassified data or unanalyzed code
0x051A00	0x051A2F	0x30	unclassified data or unanalyzed code
0x051A5E	0x051BAF	0x152	unclassified data or unanalyzed code
0x051BC4	0x052047	0x484	unclassified data or unanalyzed code
0x05205E	0x05206B	0xE	small gap/data/alignment
0x05206E	0x0520FB	0x8E	unclassified data or unanalyzed code
0x052108	0x052171	0x6A	unclassified data or unanalyzed code
0x052174	0x052465	0x2F2	unclassified data or unanalyzed code
0x05249A	0x0526C7	0x22E	unclassified data or unanalyzed code
0x0526EC	0x052707	0x1C	unclassified data or unanalyzed code
0x052726	0x052763	0x3E	unclassified data or unanalyzed code
0x0527C4	0x0527C7	0x4	small gap/data/alignment
0x0529AA	0x0529C7	0x1E	unclassified data or unanalyzed code
0x052A1A	0x052A87	0x6E	unclassified data or unanalyzed code
0x052A94	0x052A9F	0xC	small gap/data/alignment
0x052AF6	0x052B07	0x12	unclassified data or unanalyzed code
0x052B0E	0x052B35	0x28	unclassified data or unanalyzed code
0x052B38	0x053853	0xD1C	unclassified data or unanalyzed code
0x0538B8	0x0538C7	0x10	unclassified data or unanalyzed code
0x0538EA	0x053907	0x1E	unclassified data or unanalyzed code
0x053956	0x053A2D	0xD8	unclassified data or unanalyzed code
0x053E22	0x054F07	0x10E6	unclassified data or unanalyzed code
0x05506C	0x0551AF	0x144	unclassified data or unanalyzed code
0x0551B2	0x0551CB	0x1A	unclassified data or unanalyzed code
0x055404	0x0555B7	0x1B4	unclassified data or unanalyzed code
0x055650	0x055AB3	0x464	unclassified data or unanalyzed code
0x055AD6	0x055CA1	0x1CC	unclassified data or unanalyzed code
0x055DDC	0x0565A5	0x7CA	unclassified data or unanalyzed code
0x0565AA	0x057283	0xCDA	unclassified data or unanalyzed code
0x0572A4	0x0572C3	0x20	unclassified data or unanalyzed code
0x0572D4	0x057439	0x166	unclassified data or unanalyzed code
0x0574B8	0x059881	0x23CA	unclassified data or unanalyzed code
0x059910	0x059961	0x52	unclassified data or unanalyzed code
0x059A98	0x059AD3	0x3C	unclassified data or unanalyzed code
0x059B1A	0x05A4DD	0x9C4	unclassified data or unanalyzed code
0x05A502	0x05B511	0x1010	unclassified data or unanalyzed code
0x05B514	0x05FFA1	0x4A8E	unclassified data or unanalyzed code
0x05FFCE	0x05FFFF	0x32	unclassified data or unanalyzed code
