from_arcade_pc	to	type	operand_index	from_function	to_space
0x000100	0000016a	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000104	00000264	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000108	00000180	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000110	00000180	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000114	0000052a	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000118	000002ca	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000122	00000132	CONDITIONAL_JUMP	0	FUN_00000100	arcade_ROM
0x000124	00390007	READ	1	FUN_00000100	arcade_inputs
0x00012C	00000164	CONDITIONAL_JUMP	0	FUN_00000100	arcade_ROM
0x000136	00000156	CONDITIONAL_JUMP	0	FUN_00000100	arcade_ROM
0x000138	00000502	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x00013C	0000038e	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000146	00000690	CONDITIONAL_JUMP	0	FUN_00000100	arcade_ROM
0x00014E	000001e2	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000156	000003a4	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x00015A	000005cc	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x00015E	00000252	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000162	00000156	UNCONDITIONAL_JUMP	0	FUN_00000100	arcade_ROM
0x000164	00000252	UNCONDITIONAL_CALL	0	FUN_00000100	arcade_ROM
0x000168	0000011c	UNCONDITIONAL_JUMP	0	FUN_00000100	arcade_ROM
0x00016A	00c20002	DATA	0	FUN_0000016a	PC080SN_yscroll
0x000170	00c40002	DATA	0	FUN_0000016a	PC080SN_xscroll
0x000176	00c20002	WRITE	1	FUN_0000016a	PC080SN_yscroll
0x00017A	00c40002	WRITE	1	FUN_0000016a	PC080SN_xscroll
0x000180	0010c00c	DATA	0	FUN_00000180	arcade_WRAM
0x000190	000001e2	UNCONDITIONAL_CALL	0	FUN_00000180	arcade_ROM
0x000194	000001c2	UNCONDITIONAL_CALL	0	FUN_00000180	arcade_ROM
0x000198	0000023a	READ	1	FUN_00000180	arcade_ROM
0x00019C	000001a0	CONDITIONAL_JUMP	0	FUN_00000180	arcade_ROM
0x00019E	00000194	UNCONDITIONAL_JUMP	0	FUN_00000180	arcade_ROM
0x0001A6	0010c010	DATA	0	FUN_00000180	arcade_WRAM
0x0001AC	0000023c	READ	1	FUN_00000180	arcade_ROM
0x0001AC	0000023e	READ	1	FUN_00000180	arcade_ROM
0x0001B0	000001c0	CONDITIONAL_JUMP	0	FUN_00000180	arcade_ROM
0x0001B2	0000023c	READ	0	FUN_00000180	arcade_ROM
0x0001B2	0000023e	READ	0	FUN_00000180	arcade_ROM
0x0001B4	0010c010	READ	0	FUN_00000180	arcade_WRAM
0x0001B4	0010c012	READ	0	FUN_00000180	arcade_WRAM
0x0001B8	000001ac	CONDITIONAL_JUMP	0	FUN_00000180	arcade_ROM
0x0001C4	000001d8	UNCONDITIONAL_CALL	0	FUN_000001c2	arcade_ROM
0x0001D8	000001e2	UNCONDITIONAL_CALL	0	FUN_000001d8	arcade_ROM
0x0001DC	00000210	UNCONDITIONAL_CALL	0	FUN_000001d8	arcade_ROM
0x0001E4	003e0001	WRITE	1	FUN_000001e2	arcade_sound_comm
0x0001EC	003e0003	WRITE	1	FUN_000001e2	arcade_sound_comm
0x0001F4	003e0003	WRITE	1	FUN_000001e2	arcade_sound_comm
0x0001FA	000006aa	UNCONDITIONAL_CALL	0	FUN_000001e2	arcade_ROM
0x000202	000001e2	CONDITIONAL_JUMP	0	FUN_000001e2	arcade_ROM
0x000204	000006aa	UNCONDITIONAL_CALL	0	FUN_000001e2	arcade_ROM
0x00020C	00000204	CONDITIONAL_JUMP	0	FUN_000001e2	arcade_ROM
0x000210	000006aa	UNCONDITIONAL_CALL	0	FUN_00000210	arcade_ROM
0x000218	00000210	CONDITIONAL_JUMP	0	FUN_00000210	arcade_ROM
0x00021A	003e0001	WRITE	1	FUN_00000210	arcade_sound_comm
0x000222	003e0003	READ	0	FUN_00000210	arcade_sound_comm
0x000228	003e0003	READ	0	FUN_00000210	arcade_sound_comm
0x00022E	000006aa	UNCONDITIONAL_CALL	0	FUN_00000210	arcade_ROM
0x000236	0000022e	CONDITIONAL_JUMP	0	FUN_00000210	arcade_ROM
0x000256	003c0000	WRITE	1	FUN_00000252	arcade_watchdog
0x000260	00000256	CONDITIONAL_JUMP	0	FUN_00000252	arcade_ROM
0x000264	00200000	DATA	0	FUN_00000264	arcade_palette_RAM
0x000270	000002a6	READ	0	FUN_00000264	arcade_ROM
0x000270	000002a8	READ	0	FUN_00000264	arcade_ROM
0x000276	000002a4	CONDITIONAL_JUMP	0	FUN_00000264	arcade_ROM
0x00027C	00200000	WRITE	1	FUN_00000264	arcade_palette_RAM
0x00027C	00200006	WRITE	1	FUN_00000264	arcade_palette_RAM
0x000288	00200002	WRITE	1	FUN_00000264	arcade_palette_RAM
0x000288	00007800	DATA	0	FUN_00000264	arcade_ROM
0x000288	00200004	WRITE	1	FUN_00000264	arcade_palette_RAM
0x000288	00200008	WRITE	1	FUN_00000264	arcade_palette_RAM
0x000292	00200002	READ_WRITE	1	FUN_00000264	arcade_palette_RAM
