arcade_pc	kind
0x000000	branch_or_jump_target
0x0000E0	branch_or_jump_target
0x000100	branch_or_jump_target
0x00011C	branch_or_jump_target
0x000132	branch_or_jump_target
0x000156	branch_or_jump_target
0x000164	branch_or_jump_target
0x00016A	call_target
0x000180	call_target
0x000194	branch_or_jump_target
0x0001A0	branch_or_jump_target
0x0001AC	branch_or_jump_target
0x0001C0	branch_or_jump_target
0x0001C2	call_target
0x0001D8	call_target
0x0001E2	call_target
0x0001F0	branch_or_jump_target
0x0001F8	branch_or_jump_target
0x000204	branch_or_jump_target
0x000210	call_target
0x000212	branch_or_jump_target
0x00022E	branch_or_jump_target
0x000252	call_target
0x000256	branch_or_jump_target
0x000264	call_target
0x000270	branch_or_jump_target
0x00027A	branch_or_jump_target
0x00027E	branch_or_jump_target
0x000280	branch_or_jump_target
0x000282	branch_or_jump_target
0x000286	branch_or_jump_target
0x0002A4	branch_or_jump_target
0x0002CA	call_target
0x0002DE	branch_or_jump_target
0x0002E6	branch_or_jump_target
0x00032C	branch_or_jump_target
0x000350	call_target
0x000354	branch_or_jump_target
0x00038E	call_target
0x000390	branch_or_jump_target
0x0003A4	call_target
0x0003C0	branch_or_jump_target
0x0003E8	branch_or_jump_target
0x000400	branch_or_jump_target
0x000412	branch_or_jump_target
0x0004A2	call_target
0x0004A4	branch_or_jump_target
0x0004B0	branch_or_jump_target
0x0004B2	call_target
0x0004C2	branch_or_jump_target
0x0004C8	call_target
0x0004DA	branch_or_jump_target
0x0004F8	branch_or_jump_target
0x000502	call_target
0x000508	branch_or_jump_target
0x00050E	branch_or_jump_target
0x000514	branch_or_jump_target
0x00052A	call_target
0x00057C	call_target
0x000598	branch_or_jump_target
0x0005A6	branch_or_jump_target
0x0005B2	branch_or_jump_target
0x0005BE	branch_or_jump_target
0x0005C0	branch_or_jump_target
0x0005C6	branch_or_jump_target
0x0005CC	call_target
0x0005DA	branch_or_jump_target
0x0005F0	branch_or_jump_target
0x000612	branch_or_jump_target
0x000630	branch_or_jump_target
0x000644	branch_or_jump_target
0x000662	branch_or_jump_target
0x000664	call_target
0x00067C	call_target
0x000686	branch_or_jump_target
0x000690	branch_or_jump_target
0x0006AA	call_target
0x0006C2	branch_or_jump_target
0x0006CA	branch_or_jump_target
0x000800	branch_or_jump_target
0x00087A	branch_or_jump_target
0x0008F0	branch_or_jump_target
0x0009F0	branch_or_jump_target
0x0009F8	branch_or_jump_target
0x000DB0	branch_or_jump_target
0x000F10	branch_or_jump_target
0x000F84	branch_or_jump_target
0x000FD0	branch_or_jump_target
0x000FE0	branch_or_jump_target
0x000FE2	branch_or_jump_target
0x000FE8	branch_or_jump_target
0x000FF0	branch_or_jump_target
0x0010F8	branch_or_jump_target
0x0014F8	branch_or_jump_target
0x0016F8	branch_or_jump_target
0x0018E8	branch_or_jump_target
0x0019F8	branch_or_jump_target
0x00204E	branch_or_jump_target
0x00283E	branch_or_jump_target
0x002920	branch_or_jump_target
0x003C10	branch_or_jump_target
0x00411C	branch_or_jump_target
0x00436E	branch_or_jump_target
0x0043F8	branch_or_jump_target
0x004400	branch_or_jump_target
0x0045F0	branch_or_jump_target
0x0046C0	branch_or_jump_target
0x004732	branch_or_jump_target
0x004A2A	branch_or_jump_target
