frame	target	record	scene	round	note
6330	SECTION9_RECORD8	8	00	01	in-record
6360	SECTION9_RECORD8	8	00	01	in-record
6390	SECTION9_RECORD8	8	00	01	in-record
6420	SECTION9_RECORD8	8	00	01	in-record
6450	SECTION9_RECORD8	8	00	01	in-record
6480	SECTION9_RECORD8	8	00	01	in-record
6510	SECTION9_RECORD8	8	00	01	in-record
6540	SECTION9_RECORD8	8	00	01	in-record
6570	SECTION9_RECORD8	8	00	01	in-record
6600	SECTION9_RECORD8	8	00	01	in-record
6630	SECTION9_RECORD8	8	00	01	in-record
6660	SECTION9_RECORD8	8	00	01	in-record
6690	SECTION9_RECORD8	8	00	01	in-record
6720	SECTION9_RECORD8	8	00	01	in-record
8280	SECTION9_RECORD8	8	00	01	in-record
14280	SECTION14_RECORD13	13	00	01	in-record
14310	SECTION14_RECORD13	13	00	01	in-record
14340	SECTION14_RECORD13	13	00	01	in-record
14370	SECTION14_RECORD13	13	00	01	in-record
14400	SECTION14_RECORD13	13	00	01	in-record
14430	SECTION14_RECORD13	13	00	01	in-record
14460	SECTION14_RECORD13	13	00	01	in-record
14490	SECTION14_RECORD13	13	00	01	in-record
14520	SECTION14_RECORD13	13	00	01	in-record
14550	SECTION14_RECORD13	13	00	01	in-record
14580	SECTION14_RECORD13	13	00	01	in-record
14610	SECTION14_RECORD13	13	00	01	in-record
14640	SECTION14_RECORD13	13	00	01	in-record
14670	SECTION14_RECORD13	13	00	01	in-record
14700	SECTION14_RECORD13	13	00	01	in-record
14730	SECTION14_RECORD13	13	00	01	in-record
14760	SECTION14_RECORD13	13	00	01	in-record
14790	SECTION14_RECORD13	13	00	01	in-record
14820	SECTION14_RECORD13	13	00	01	in-record
14850	SECTION14_RECORD13	13	00	01	in-record
14880	SECTION14_RECORD13	13	00	01	in-record
15930	SECTION14_RECORD13	13	00	01	in-record
15960	SECTION14_RECORD13	13	00	01	in-record
15990	SECTION14_RECORD13	13	00	01	in-record
16020	SECTION14_RECORD13	13	00	01	in-record
16050	SECTION14_RECORD13	13	00	01	in-record
16080	SECTION14_RECORD13	13	00	01	in-record
16110	SECTION14_RECORD13	13	00	01	in-record
16140	SECTION14_RECORD13	13	00	01	in-record
16170	SECTION14_RECORD13	13	00	01	in-record
16200	SECTION14_RECORD13	13	00	01	in-record
16230	SECTION14_RECORD13	13	00	01	in-record
16260	SECTION14_RECORD13	13	00	01	in-record
16290	SECTION14_RECORD13	13	00	01	in-record
16320	SECTION14_RECORD13	13	00	01	in-record
16350	SECTION14_RECORD13	13	00	01	in-record
16380	SECTION14_RECORD13	13	00	01	in-record
16410	SECTION14_RECORD13	13	00	01	in-record
16440	SECTION14_RECORD13	13	00	01	in-record
16470	SECTION14_RECORD13	13	00	01	in-record
16500	SECTION14_RECORD13	13	00	01	in-record
16530	SECTION14_RECORD13	13	00	01	in-record
16560	SECTION14_RECORD13	13	00	01	in-record
16590	SECTION14_RECORD13	13	00	01	in-record
16620	SECTION14_RECORD13	13	00	01	in-record
16650	SECTION14_RECORD13	13	00	01	in-record
16680	SECTION14_RECORD13	13	00	01	in-record
16710	SECTION14_RECORD13	13	00	01	in-record
