frame,section,round,renderer_mode,record,w0,y,code,x
13,00,00,0000,4,0000,0000,003B,0088
13,00,00,0000,5,0000,0000,003A,0078
13,00,00,0000,6,0000,0000,003C,0098
13,00,00,0000,7,0000,0000,003D,00A8
13,00,00,0000,8,0000,0008,003E,00B8
13,00,00,0000,9,0000,00F8,0037,0008
13,00,00,0000,10,0000,00F8,0038,0018
13,00,00,0000,11,0000,00F8,0045,0030
13,00,00,0000,12,0000,00F8,0045,0040
13,00,00,0000,13,0000,00F8,0045,0050
13,00,00,0000,14,0000,00F8,0045,0060
13,00,00,0000,15,0000,00F8,0045,0070
13,00,00,0000,16,0000,00F8,0045,0080
13,00,00,0000,17,0000,01EC,002A,0000
13,00,00,0000,18,0000,01E8,0034,0100
13,00,00,0000,19,0000,01E8,0035,0110
13,00,00,0000,20,0000,01E8,0036,0120
13,00,00,0000,21,0000,01E8,002B,0128
13,00,00,0000,22,0000,0010,002B,00A8
13,00,00,0000,23,0000,0010,002D,00A0
13,00,00,0000,24,0000,0010,0031,0098
13,00,00,0000,25,0000,0010,002C,0090
13,00,00,0000,26,0000,0110,002A,0088
13,00,00,0000,27,0000,0110,002A,0080
13,00,00,0000,28,0000,0000,002A,0030
13,00,00,0000,29,0000,0000,002A,0028
13,00,00,0000,30,0000,0000,002A,0020
13,00,00,0000,31,0000,0000,002A,0018
13,00,00,0000,32,0000,0000,002A,0010
13,00,00,0000,33,0000,0000,002A,0008
13,00,00,0000,34,0000,0010,0039,0040
13,00,00,0000,35,0000,0000,0048,0028
13,00,00,0000,36,0000,0000,0046,0038
13,00,00,0000,37,0000,0000,002A,0110
13,00,00,0000,38,0000,0000,002A,0108
13,00,00,0000,39,0000,0000,002A,0100
13,00,00,0000,40,0000,0000,002A,00F8
13,00,00,0000,41,0000,0000,002A,00F0
13,00,00,0000,42,0000,0000,002A,00E8
13,00,00,0000,43,0000,0010,0039,0120
13,00,00,0000,44,0000,0000,0049,0108
13,00,00,0000,45,0000,0000,0047,0118
439,01,01,0000,4,0000,0000,003B,0088
439,01,01,0000,5,0000,0000,003A,0078
439,01,01,0000,6,0000,0000,003C,0098
439,01,01,0000,7,0000,0000,003D,00A8
439,01,01,0000,8,0000,0008,003E,00B8
439,01,01,0000,17,0000,00E4,002C,0000
439,01,01,0000,18,0000,00E8,0034,0100
439,01,01,0000,19,0000,00E8,0035,0110
439,01,01,0000,20,0000,00E8,0036,0120
439,01,01,0000,21,0000,00E8,002B,0128
439,01,01,0000,22,0000,0010,002B,00A8
439,01,01,0000,23,0000,0010,002D,00A0
439,01,01,0000,24,0000,0010,0031,0098
439,01,01,0000,25,0000,0010,002C,0090
439,01,01,0000,26,0000,0110,002A,0088
439,01,01,0000,27,0000,0110,002A,0080
439,01,01,0000,28,0000,0110,002A,0030
439,01,01,0000,29,0000,0110,002A,0028
439,01,01,0000,30,0000,0110,002A,0020
439,01,01,0000,31,0000,0110,002A,0018
439,01,01,0000,32,0000,0110,002A,0010
439,01,01,0000,33,0000,0110,002A,0008
439,01,01,0000,34,0000,0010,0039,0040
439,01,01,0000,35,0000,0000,0048,0028
439,01,01,0000,36,0000,0000,0046,0038
439,01,01,0000,37,0000,0100,002A,0110
439,01,01,0000,38,0000,0100,002A,0108
439,01,01,0000,39,0000,0100,002A,0100
439,01,01,0000,40,0000,0100,002A,00F8
439,01,01,0000,41,0000,0100,002A,00F0
439,01,01,0000,42,0000,0100,002A,00E8
439,01,01,0000,43,0000,0110,0039,0120
439,01,01,0000,44,0000,0100,0049,0108
439,01,01,0000,45,0000,0100,0047,0118
440,01,01,0000,9,0000,00E8,03CA,0010
440,01,01,0000,10,0000,00E8,03CC,0020
440,01,01,0000,11,0000,00E8,03CD,0030
440,01,01,0000,12,0000,00E8,03CD,0040
440,01,01,0000,13,0000,00E8,03CD,0050
440,01,01,0000,14,0000,00E8,03CD,0060
440,01,01,0000,15,0000,00E8,03CD,0070
440,01,01,0000,16,0000,00E8,03CD,0080
441,01,01,0000,120,4003,0009,009E,0010
441,01,01,0000,121,4003,0019,009F,0010
441,01,01,0000,124,4003,0011,008E,0018
441,01,01,0000,125,4003,0021,008F,0020
441,01,01,0000,126,4003,0021,0090,0010
441,01,01,0000,128,4003,0031,010B,0020
441,01,01,0000,129,4003,0031,010C,0010
441,01,01,0000,130,4003,0041,010D,0020
441,01,01,0000,131,4003,0041,010E,0010
468,01,01,0000,120,4003,0049,00A1,0000
468,01,01,0000,121,4003,0059,00A0,0008
468,01,01,0000,125,4003,0059,0091,0020
468,01,01,0000,126,4003,0059,0092,0010
469,01,01,0000,120,4003,005C,00A3,01F8
469,01,01,0000,121,4003,005C,00A2,0008
469,01,01,0000,125,4003,005C,0093,0020
469,01,01,0000,126,4003,005C,0094,0010
470,01,01,0000,120,4003,0067,00A4,0010
470,01,01,0000,124,4003,004F,0095,0018
470,01,01,0000,125,4003,005F,0096,0020
470,01,01,0000,126,4003,005F,0097,0010
471,01,01,0000,120,4003,0069,00A5,0028
471,01,01,0000,124,4003,0051,0098,0018
471,01,01,0000,125,4003,0061,0099,0020
471,01,01,0000,126,4003,0061,009A,0010
473,01,01,0000,120,4003,0061,00A6,0048
473,01,01,0000,121,4003,0061,00A7,0038
473,01,01,0000,124,4003,0051,009B,0018
473,01,01,0000,125,4003,0061,009D,0018
473,01,01,0000,126,4003,0061,009C,0028
505,01,01,0000,220,4046,00CA,0066,012D
505,01,01,0000,221,4046,00BA,0064,012D
505,01,01,0000,222,4046,00BA,004E,012D
505,01,01,0000,223,4046,00AA,004C,012D
505,01,01,0000,224,4046,00CA,0065,013D
505,01,01,0000,225,4046,00BA,0063,013D
505,01,01,0000,226,4046,00BA,004D,013D
505,01,01,0000,227,4046,00AA,004B,013D
507,01,01,0000,220,4046,00C4,0066,012B
507,01,01,0000,221,4046,00B4,0064,012B
507,01,01,0000,222,4046,00B4,004E,012B
507,01,01,0000,223,4046,00A4,004C,012B
507,01,01,0000,224,4046,00C4,0065,013B
507,01,01,0000,225,4046,00B4,0063,013B
507,01,01,0000,226,4046,00B4,004D,013B
507,01,01,0000,227,4046,00A4,004B,013B
509,01,01,0000,220,4046,00BE,0066,0129
509,01,01,0000,221,4046,00AE,0064,0129
509,01,01,0000,222,4046,00AE,004E,0129
509,01,01,0000,223,4046,009E,004C,0129
509,01,01,0000,224,4046,00BE,0065,0139
509,01,01,0000,225,4046,00AE,0063,0139
509,01,01,0000,226,4046,00AE,004D,0139
509,01,01,0000,227,4046,009E,004B,0139
511,01,01,0000,220,4046,00B8,0066,0127
511,01,01,0000,221,4046,00A8,0064,0127
511,01,01,0000,222,4046,00A8,004E,0127
511,01,01,0000,223,4046,0098,004C,0127
511,01,01,0000,224,4046,00B8,0065,0137
511,01,01,0000,225,4046,00A8,0063,0137
511,01,01,0000,226,4046,00A8,004D,0137
511,01,01,0000,227,4046,0098,004B,0137
512,01,01,0000,220,4046,00B4,0069,0127
512,01,01,0000,221,4046,00A4,0067,0127
512,01,01,0000,224,4046,00B4,0068,0137
514,01,01,0000,220,4046,00AE,0069,0125
514,01,01,0000,221,4046,009E,0067,0125
514,01,01,0000,222,4046,009E,004E,0125
514,01,01,0000,223,4046,008E,004C,0125
514,01,01,0000,224,4046,00AE,0068,0135
514,01,01,0000,225,4046,009E,0063,0135
514,01,01,0000,226,4046,009E,004D,0135
514,01,01,0000,227,4046,008E,004B,0135
516,01,01,0000,220,4046,00A8,0069,0123
516,01,01,0000,221,4046,0098,0067,0123
516,01,01,0000,222,4046,0098,004E,0123
516,01,01,0000,223,4046,0088,004C,0123
516,01,01,0000,224,4046,00A8,0068,0133
516,01,01,0000,225,4046,0098,0063,0133
516,01,01,0000,226,4046,0098,004D,0133
516,01,01,0000,227,4046,0088,004B,0133
518,01,01,0000,220,4046,00A2,0069,0121
518,01,01,0000,221,4046,0092,0067,0121
518,01,01,0000,222,4046,0092,004E,0121
518,01,01,0000,223,4046,0082,004C,0121
518,01,01,0000,224,4046,00A2,0068,0131
518,01,01,0000,225,4046,0092,0063,0131
518,01,01,0000,226,4046,0092,004D,0131
518,01,01,0000,227,4046,0082,004B,0131
520,01,01,0000,120,4003,0060,00A3,0003
520,01,01,0000,121,4003,0060,00A2,0013
520,01,01,0000,124,4003,0051,0101,0018
520,01,01,0000,125,4003,0061,0102,0020
520,01,01,0000,126,4003,0061,0103,0010
520,01,01,0000,220,4046,009D,006D,011F
520,01,01,0000,221,4046,008D,006B,011F
520,01,01,0000,222,4046,008D,004E,011F
520,01,01,0000,223,4046,007D,004C,011F
520,01,01,0000,224,4046,009D,006C,012F
520,01,01,0000,225,4046,008D,006A,012F
520,01,01,0000,226,4046,008D,004D,012F
520,01,01,0000,227,4046,007D,004B,012F
523,01,01,0000,220,4046,0094,006D,011D
523,01,01,0000,221,4046,0084,006B,011D
523,01,01,0000,222,4046,0084,004E,011D
523,01,01,0000,223,4046,0074,004C,011D
523,01,01,0000,224,4046,0094,006C,012D
523,01,01,0000,225,4046,0084,006A,012D
523,01,01,0000,226,4046,0084,004D,012D
