frame,section,round,block,index,actor_addr,active,class,state,mode3e,flags38,752,attr27,base_code
439,01,01,actor_2c8,0,10C2C8,01,00,00,00,00,00,00,0179
439,01,01,player_11b2,7,10D372,01,00,FF,00,00,00,00,0018
440,01,01,actor_2c8,8,10C4C8,01,17,00,00,00,00,46,004B
440,01,01,player_11b2,0,10D1B2,40,03,9E,00,00,00,18,0000
440,01,01,player_11b2,1,10D1F2,40,03,0B,00,00,51,00,0010
441,01,01,actor_2c8,7,10C488,01,17,00,00,00,00,46,004B
442,01,01,actor_2c8,6,10C448,01,17,00,00,00,00,46,004B
443,01,01,actor_2c8,5,10C408,01,17,00,00,00,00,46,004B
444,01,01,actor_2c8,4,10C3C8,01,17,00,00,00,00,46,004B
467,01,01,player_11b2,0,10D1B2,40,03,A1,00,00,00,18,0000
468,01,01,player_11b2,0,10D1B2,40,03,A3,00,00,00,18,0000
469,01,01,player_11b2,0,10D1B2,40,03,A4,00,00,00,18,0000
470,01,01,player_11b2,0,10D1B2,40,03,A5,00,00,00,18,0000
472,01,01,player_11b2,0,10D1B2,40,03,A6,00,00,00,18,0000
504,01,01,actor_2c8,8,10C4C8,01,17,02,00,00,00,46,004B
523,01,01,player_11b2,0,10D1B2,C0,03,9F,00,00,00,18,0000
527,01,01,player_11b2,1,10D1F2,40,03,09,00,00,51,00,0000
532,01,01,player_11b2,1,10D1F2,40,03,BE,00,00,51,00,0000
533,01,01,player_11b2,1,10D1F2,40,03,BA,00,00,51,00,0000
535,01,01,player_11b2,1,10D1F2,40,03,B6,00,00,51,00,0000
537,01,01,player_11b2,1,10D1F2,40,03,B2,00,00,51,00,0000
539,01,01,player_11b2,1,10D1F2,40,03,AE,00,00,51,00,0000
549,01,01,player_11b2,1,10D1F2,40,03,76,00,00,51,00,0010
553,01,01,actor_2c8,7,10C488,01,19,02,00,00,00,46,004B
557,01,01,player_11b2,1,10D1F2,40,03,76,00,00,51,00,0011
558,01,01,player_11b2,1,10D1F2,40,03,76,00,00,51,00,0012
559,01,01,player_11b2,1,10D1F2,40,03,76,00,00,51,00,0013
560,01,01,player_11b2,1,10D1F2,40,03,76,00,00,51,00,0014
561,01,01,player_11b2,1,10D1F2,40,03,76,00,00,51,00,0015
562,01,01,player_11b2,1,10D1F2,40,03,76,00,00,51,00,0016
563,01,01,player_11b2,1,10D1F2,40,03,76,00,00,51,00,0017
564,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,0018
565,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,0019
566,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,001A
567,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,001B
568,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,001C
569,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,001D
570,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,001E
571,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,001F
572,01,01,player_11b2,1,10D1F2,40,03,7E,00,00,51,00,0021
573,01,01,player_11b2,1,10D1F2,40,03,7E,00,00,51,00,0023
574,01,01,player_11b2,1,10D1F2,40,03,7E,00,00,51,00,0025
575,01,01,player_11b2,1,10D1F2,40,03,7E,00,00,51,00,0027
576,01,01,player_11b2,1,10D1F2,40,03,7E,00,00,51,00,0029
577,01,01,player_11b2,1,10D1F2,40,03,7E,00,00,51,00,002B
578,01,01,player_11b2,1,10D1F2,40,03,7E,00,00,51,00,002D
579,01,01,player_11b2,1,10D1F2,40,03,7E,00,00,51,00,002F
580,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,0031
581,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,0033
582,01,01,player_11b2,1,10D1F2,40,03,7A,00,00,51,00,0035
