usage_id,context_id,tile_code_hex,pattern_id,physical_sha256,palette_bank_hex,palette_id,flip,priority_bits,map_cell_count
usage:pa:66687aadf862:b0x003:f0,context:gameplay.r01.p01,0x0020,pattern:pc080sn:66687aadf862bd77,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,31376
usage:pa:66687aadf862:b0x003:f0,context:gameplay.r01.p01,0x00AD,pattern:pc080sn:66687aadf862bd77,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,709
usage:pa:b27a76c44e18:b0x003:f0,context:gameplay.r01.p01,0x00BD,pattern:pc080sn:b27a76c44e189678,b27a76c44e189678052cf6735904ea7734321d54a26d8fa9278b3fdf808d2ca6,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,226
usage:pa:ea2e65211f6e:b0x003:f0,context:gameplay.r01.p01,0x00BE,pattern:pc080sn:ea2e65211f6e6380,ea2e65211f6e63804991bb84352022bb9b20de2aca446343193ff5856f110bac,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,226
usage:pa:daa031dc9e32:b0x003:f0,context:gameplay.r01.p01,0x00BF,pattern:pc080sn:daa031dc9e32adb0,daa031dc9e32adb0cd6c5f6803eb4aad4955bc4ebd773ec179d9416a20e4c442,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,226
usage:pa:7e67ad8b2c64:b0x003:f0,context:gameplay.r01.p01,0x00C0,pattern:pc080sn:7e67ad8b2c646897,7e67ad8b2c646897d2efdf7192e48d13ba136a7d8dd29e100815f109d80865c7,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,226
usage:pa:15950ffb0436:b0x003:f0,context:gameplay.r01.p01,0x00C1,pattern:pc080sn:15950ffb043679fc,15950ffb043679fc2dfa75ed6c1096e56f489dc6473cbe364a84b28c4f552ad0,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,205
usage:pa:54089e85c86a:b0x003:f0,context:gameplay.r01.p01,0x00C2,pattern:pc080sn:54089e85c86af626,54089e85c86af626a0f2fb5254ee4d38fb2073e106c509980df03b6172b5d1c7,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,241
usage:pa:18a22f884bd5:b0x003:f0,context:gameplay.r01.p01,0x00C3,pattern:pc080sn:18a22f884bd58c1f,18a22f884bd58c1f658b363f31518c9fef93e99a95aa861f02e381e75746dafe,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,241
usage:pa:357d6a08e4b3:b0x003:f0,context:gameplay.r01.p01,0x00C4,pattern:pc080sn:357d6a08e4b326a2,357d6a08e4b326a2bb7b9aa0586d1d9fa57873ec7da58ce7163e32182eb7e2bd,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,227
usage:pa:96966a22880f:b0x003:f0,context:gameplay.r01.p01,0x00C5,pattern:pc080sn:96966a22880f42be,96966a22880f42be1e4f54913b6eff3fa40acccd7447f561ed24433faa52df38,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,219
usage:pa:6cd32288c81d:b0x003:f0,context:gameplay.r01.p01,0x00C6,pattern:pc080sn:6cd32288c81d24ec,6cd32288c81d24ec41d124fb6623a758ce8c11075be637dfccd2ca341fb58fb8,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,225
usage:pa:07fd7cc70c48:b0x003:f0,context:gameplay.r01.p01,0x00C7,pattern:pc080sn:07fd7cc70c48cd47,07fd7cc70c48cd47eec5ea29aaaf133470f88be7f04e63361a1e73cd67aa68bf,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,227
usage:pa:678cec224a63:b0x003:f0,context:gameplay.r01.p01,0x00C8,pattern:pc080sn:678cec224a632293,678cec224a632293d315ce883151950c90b1f50ad57cec412701f41d52bc1451,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,2
usage:pa:b5e102cb63ea:b0x003:f0,context:gameplay.r01.p01,0x00C9,pattern:pc080sn:b5e102cb63ea3294,b5e102cb63ea329455767a139ff189f9bf589f4a0a14ccff04c08d91fab598c1,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,239
usage:pa:b3fdadce24b0:b0x003:f0,context:gameplay.r01.p01,0x00CA,pattern:pc080sn:b3fdadce24b09217,b3fdadce24b0921764bd19ba6da085ebd30befa5a0029233d5d7e6826a30216f,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,2
usage:pa:6879f339c9c8:b0x003:f0,context:gameplay.r01.p01,0x00CB,pattern:pc080sn:6879f339c9c8a618,6879f339c9c8a61890e90f22d3688701e7f9ad6f8453da79cb80004330641c5b,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,2
usage:pa:4b0d7ed3bb57:b0x003:f0,context:gameplay.r01.p01,0x00CC,pattern:pc080sn:4b0d7ed3bb57aa56,4b0d7ed3bb57aa560877f20adea41d3d7c644a74202237f59553851f5f8bcb05,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,821
usage:pa:f96c886b5523:b0x003:f0,context:gameplay.r01.p01,0x00CD,pattern:pc080sn:f96c886b5523979c,f96c886b5523979c25de54bd58b805e7323d0d39a9e60462e2776b42579ee83e,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,849
usage:pa:5c4d1cb9d463:b0x003:f0,context:gameplay.r01.p01,0x00CE,pattern:pc080sn:5c4d1cb9d463991c,5c4d1cb9d463991c0f155bb799987b442c7db37cac5e7256f17bacb06c356122,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,1
usage:pa:c3a395a2a3ef:b0x003:f0,context:gameplay.r01.p01,0x00CF,pattern:pc080sn:c3a395a2a3efb625,c3a395a2a3efb625fa3ced573cff8a71b647923800ebdb5300dda729ff149b16,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,1
usage:pa:48beb7d407f7:b0x003:f0,context:gameplay.r01.p01,0x00D0,pattern:pc080sn:48beb7d407f78af9,48beb7d407f78af9490fb72842bf125bccb527fd8d1cf646a606eb9eaf64312e,0x003,palette:arcade.r01p01.plane.bank_0x003.epoch_00,0,,1
