arcade_code,physical_hash,rom_offset,palette_banks
0x0020,de8a847bff8c,pc080sn+0x400,0x003
0x0070,a7d2af7c900f,pc080sn+0xE00,0x004;0x007
0x0071,6d331b73e77b,pc080sn+0xE20,0x004;0x007
0x0072,7bfc95c8f54f,pc080sn+0xE40,0x004;0x007
0x0073,d77925883289,pc080sn+0xE60,0x004;0x007
0x0074,c62e36487b76,pc080sn+0xE80,0x004;0x007
0x0075,ace84498d1d4,pc080sn+0xEA0,0x004;0x007
0x0076,e62e91ed05d9,pc080sn+0xEC0,0x004;0x007
0x0077,7548d7e509f6,pc080sn+0xEE0,0x004;0x007
0x0078,f9d08eebdf07,pc080sn+0xF00,0x004;0x007
0x0079,b4ea6a8c14af,pc080sn+0xF20,0x004;0x007
0x007A,f78a9f928e25,pc080sn+0xF40,0x004;0x007
0x007B,5f317f083b71,pc080sn+0xF60,0x004;0x007
0x007C,d3c2c61e460e,pc080sn+0xF80,0x004;0x007
0x007D,2c2b4a920ee0,pc080sn+0xFA0,0x004;0x007
0x007E,9fec37d76fb8,pc080sn+0xFC0,0x004;0x007
0x007F,74ca2cec56e7,pc080sn+0xFE0,0x004;0x007
0x0080,d52f077a9093,pc080sn+0x1000,0x004
0x0081,12ad00d4f4b0,pc080sn+0x1020,0x004
0x0082,1cb64233e381,pc080sn+0x1040,0x004
0x0083,4e3741871667,pc080sn+0x1060,0x004
0x0084,568a9e7b50e5,pc080sn+0x1080,0x004
0x0085,5940dadf5d75,pc080sn+0x10A0,0x004
0x0086,100c3ba9b3dd,pc080sn+0x10C0,0x004
0x0087,4bd5493fc534,pc080sn+0x10E0,0x004
0x0088,4ca23113e3c5,pc080sn+0x1100,0x004
0x0089,9d9bae6e46a4,pc080sn+0x1120,0x004
0x008A,313237b16dfb,pc080sn+0x1140,0x004
0x008B,df2c8a6054c8,pc080sn+0x1160,0x004
0x008C,d24a99950286,pc080sn+0x1180,0x004
0x008D,29a3f68be2de,pc080sn+0x11A0,0x004
0x008E,c550a3865835,pc080sn+0x11C0,0x004
0x008F,0975d2eb2d6e,pc080sn+0x11E0,0x004
0x0091,13ef5dd5d0d0,pc080sn+0x1220,0x004
0x0092,1122d91dc699,pc080sn+0x1240,0x004
0x0093,1604b929eb73,pc080sn+0x1260,0x004
0x0095,27c21a3cda19,pc080sn+0x12A0,0x004
0x0096,c29edf2fbb0f,pc080sn+0x12C0,0x004;0x01A
0x0097,05ef351a8554,pc080sn+0x12E0,0x004;0x01A
0x0098,989ea4e87d89,pc080sn+0x1300,0x004
0x0099,850e3574afad,pc080sn+0x1320,0x004;0x01A
0x009A,9f68f3788bba,pc080sn+0x1340,0x01A
0x009B,5d46f607059e,pc080sn+0x1360,0x01A
0x009C,0b09af1e84c7,pc080sn+0x1380,0x004;0x01A
0x009D,0dfe10589c18,pc080sn+0x13A0,0x004;0x01A
0x009E,13e586b17463,pc080sn+0x13C0,0x01A
0x009F,5531cff5c634,pc080sn+0x13E0,0x01A
0x00A5,d9e82f9948c4,pc080sn+0x14A0,0x01A
0x00A7,c1ce49401d64,pc080sn+0x14E0,0x01A
0x00AD,de8a847bff8c,pc080sn+0x15A0,0x003;0x004;0x017;0x018
0x00AE,f12f7698a75f,pc080sn+0x15C0,0x004
0x00AF,36e53120b681,pc080sn+0x15E0,0x004
0x00B0,4c9166973d0b,pc080sn+0x1600,0x004
0x00B1,acbd736bfadd,pc080sn+0x1620,0x004
0x00B2,e5f0937d2a64,pc080sn+0x1640,0x004
0x00B3,b6fabf10e01a,pc080sn+0x1660,0x004
0x00B4,ecc6b55a18b2,pc080sn+0x1680,0x004
0x00B5,5454b90223d4,pc080sn+0x16A0,0x004
0x00B6,53ca8704b0d4,pc080sn+0x16C0,0x004
0x00B7,60dc7629acd1,pc080sn+0x16E0,0x004
0x00B8,6cace2ed34db,pc080sn+0x1700,0x004
0x00B9,133f19d73ee2,pc080sn+0x1720,0x004
0x00BA,184ce902cd83,pc080sn+0x1740,0x004
0x00BB,8a79dbb12d57,pc080sn+0x1760,0x004
0x00BC,bb865b86a8c6,pc080sn+0x1780,0x004
0x00BD,5b20a81123f0,pc080sn+0x17A0,0x003;0x018
0x00BE,92271e3df8ed,pc080sn+0x17C0,0x003;0x018
0x00BF,b326688b4561,pc080sn+0x17E0,0x003
0x00C0,8bade15a854f,pc080sn+0x1800,0x003
