usage_id,context_id,tile_code_hex,pattern_id,physical_sha256,palette_bank_hex,palette_id,flip,priority_bits,map_cell_count
usage:pb:b172ba3b4409:b0x002:f0,context:gameplay.r01.p01,0x04A6,pattern:pc080sn:b172ba3b4409fb09,b172ba3b4409fb0905c1315022df565254ce81fb3ae143d205cb8f7dbb5d6c73,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:7208167295cb:b0x002:f0,context:gameplay.r01.p01,0x04A7,pattern:pc080sn:7208167295cb57f8,7208167295cb57f817d90ea6f0b49394b75899b4b00cf163318fcd11dfb78953,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:4d12332c7f14:b0x002:f0,context:gameplay.r01.p01,0x04A8,pattern:pc080sn:4d12332c7f14cdaa,4d12332c7f14cdaafa2b617b50feec749250000a8d75662c72c8931374176fca,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,240
usage:pb:125c8543863a:b0x002:f0,context:gameplay.r01.p01,0x04A9,pattern:pc080sn:125c8543863a4a57,125c8543863a4a5790a89e7a6c4261346920697717e23bf59c8adf9ba1fe4766,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:247b5cf37585:b0x002:f0,context:gameplay.r01.p01,0x04AA,pattern:pc080sn:247b5cf37585670e,247b5cf37585670e764b5f5f8d91e1c2f28259a675e79ff03ed9b61e4b8796a2,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:744b8bc95432:b0x002:f0,context:gameplay.r01.p01,0x04AB,pattern:pc080sn:744b8bc95432f065,744b8bc95432f065a6ac86ec1a8adfa08fc0868071f5ece67e301b8715c8d722,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:c19ffd589e8b:b0x002:f0,context:gameplay.r01.p01,0x04AC,pattern:pc080sn:c19ffd589e8b83a0,c19ffd589e8b83a0868011ed9ab738492f786c7eb3beb3cf4efc0812dc299079,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:7543ed0e6ca1:b0x002:f0,context:gameplay.r01.p01,0x04AD,pattern:pc080sn:7543ed0e6ca19e08,7543ed0e6ca19e082c4598e9c0cfdce19051f9daced7f52002d61a48fcd0c7a6,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:c2ba2a5d83a0:b0x002:f0,context:gameplay.r01.p01,0x04AE,pattern:pc080sn:c2ba2a5d83a08bd0,c2ba2a5d83a08bd05791da5ec0fbdde1d84fb19b7ee56b5159d21433ed7db7ba,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:9f43f3bc005d:b0x002:f0,context:gameplay.r01.p01,0x04AF,pattern:pc080sn:9f43f3bc005dee18,9f43f3bc005dee18e5e9eb8be34ce53e87f50b2837406ffe4b4d988f87fbfa0b,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
usage:pb:4458a618c9db:b0x002:f0,context:gameplay.r01.p01,0x04B0,pattern:pc080sn:4458a618c9db3dac,4458a618c9db3dac43c778abfc158e63c1b82e7dc91491563abe180aeaa0e15a,0x002,palette:arcade.r01p01.plane.bank_0x002.epoch_00,0,,48
