arcade_code,physical_hash,rom_offset,palette_bank
0x04A6,1e19d2ad020d,pc080sn+0x94C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04A7,d85428366d30,pc080sn+0x94E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04A8,37f809908425,pc080sn+0x9500,"0x002 (PROVEN, all 854 BG single vocab)"
0x04A9,66d36f79ac30,pc080sn+0x9520,"0x002 (PROVEN, all 854 BG single vocab)"
0x04AA,9ade423aab63,pc080sn+0x9540,"0x002 (PROVEN, all 854 BG single vocab)"
0x04AB,e0132d87eef9,pc080sn+0x9560,"0x002 (PROVEN, all 854 BG single vocab)"
0x04AC,798c2cb3eeaf,pc080sn+0x9580,"0x002 (PROVEN, all 854 BG single vocab)"
0x04AD,3f973df097c5,pc080sn+0x95A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04AE,aa1a4574f7e0,pc080sn+0x95C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04AF,42a7253e268f,pc080sn+0x95E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B0,2c6402caa1bb,pc080sn+0x9600,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B1,191dd9feb321,pc080sn+0x9620,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B2,ee263924e35c,pc080sn+0x9640,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B3,48740abe9796,pc080sn+0x9660,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B4,9b1c6da095e4,pc080sn+0x9680,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B5,d1f0350e7394,pc080sn+0x96A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B6,fd5d6800098e,pc080sn+0x96C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B7,d7a485590ac9,pc080sn+0x96E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B8,c57a8edced76,pc080sn+0x9700,"0x002 (PROVEN, all 854 BG single vocab)"
0x04B9,9fa757f863c8,pc080sn+0x9720,"0x002 (PROVEN, all 854 BG single vocab)"
0x04BA,0ec2c09070b6,pc080sn+0x9740,"0x002 (PROVEN, all 854 BG single vocab)"
0x04BB,a0bb8cf669ae,pc080sn+0x9760,"0x002 (PROVEN, all 854 BG single vocab)"
0x04BC,80bcf65c9d8a,pc080sn+0x9780,"0x002 (PROVEN, all 854 BG single vocab)"
0x04BD,62d614e55036,pc080sn+0x97A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04BE,441babbfdd45,pc080sn+0x97C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04BF,8ee2b992b075,pc080sn+0x97E0,"0x002 (PROVEN, all 854 BG single vocab)"
