arcade_tile_code,records_used,exact_hash,flip_normalized_hash,dup_group_id,dup_group_size
0x0020,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,de8a847bff8c,de8a847bff8c,0,2
0x0070,1;2;7;8;13;14,a7d2af7c900f,c0800be79579,1,1
0x0071,1;2;7;8;13;14,6d331b73e77b,271b7a2950c2,2,1
0x0072,1;2;7;8;13;14,7bfc95c8f54f,7bfc95c8f54f,3,1
0x0073,1;2;7;8;13;14,d77925883289,de19cbadc048,4,1
0x0074,1;2;7;8;13;14,c62e36487b76,b9c5e838bed5,5,1
0x0075,1;2;7;8;13;14,ace84498d1d4,5fd2ebcfb952,6,1
0x0076,1;2;7;8;13;14,e62e91ed05d9,148f88b7208d,7,1
0x0077,1;2;7;8;13;14,7548d7e509f6,becbb3586369,8,1
0x0078,1;2;7;8;13;14,f9d08eebdf07,75714239c2c4,9,1
0x0079,1;2;7;8;13;14,b4ea6a8c14af,712f7beed543,10,1
0x007A,1;2;7;8;13;14,f78a9f928e25,1c079e743a15,11,1
0x007B,1;2;7;8;13;14,5f317f083b71,5f317f083b71,12,1
0x007C,1;2;7;8;13;14,d3c2c61e460e,30b26289f6f5,13,1
0x007D,1;2;7;8;13;14,2c2b4a920ee0,80a2a2aac051,14,1
0x007E,1;2;7;8;13;14,9fec37d76fb8,9fec37d76fb8,15,1
0x007F,1;2;7;8;13;14,74ca2cec56e7,671e29b0cb72,16,1
0x0080,1;2;7;8;13;14,d52f077a9093,b8f188edb762,17,1
0x0081,1;2;7;8;13;14,12ad00d4f4b0,12ad00d4f4b0,18,1
0x0082,1;2;7;8;13;14,1cb64233e381,1174eed1edba,19,1
0x0083,1;2;7;8;13;14,4e3741871667,555b5596136f,20,1
0x0084,1;2;7;8;13;14,568a9e7b50e5,568a9e7b50e5,21,1
0x0085,1;2;7;8;13;14,5940dadf5d75,06f6833ee81b,22,1
0x0086,1;2;7;8;13;14,100c3ba9b3dd,33dfac57f46d,23,1
0x0087,1;2;7;8;13;14,4bd5493fc534,f2a2ea384328,24,1
0x0088,1;2;7;8;13;14,4ca23113e3c5,074722180194,25,1
0x0089,1;2;7;8;13;14,9d9bae6e46a4,d7502ea35e0a,26,1
0x008A,1;2;7;8;13;14,313237b16dfb,0e3bb34909a6,27,1
0x008B,1;2;7;8;13;14,df2c8a6054c8,e840522f7916,28,1
0x008C,1;2;7;8;13;14,d24a99950286,f735472e5ec4,29,1
0x008D,1;2;7;8;13;14,29a3f68be2de,6cf16bf385d3,30,1
0x008E,1;2;7;8;13;14,c550a3865835,f7ddeceb79d0,31,1
0x008F,1;2;7;8;13;14,0975d2eb2d6e,0a110e635938,32,1
0x0091,5,13ef5dd5d0d0,13ef5dd5d0d0,33,1
0x0092,5,1122d91dc699,1122d91dc699,34,1
0x0093,5,1604b929eb73,9e8c9c0cb36a,35,1
0x0095,5;7,27c21a3cda19,db9b65841649,36,1
0x0096,3;5;10;11,c29edf2fbb0f,09a31a2d0df1,37,1
0x0097,3;5;11,05ef351a8554,1c39edb4bdf7,38,1
0x0098,7,989ea4e87d89,989ea4e87d89,39,1
0x0099,3;7;10;11,850e3574afad,e7f6c588e3be,40,1
0x009A,3;10;11,9f68f3788bba,92b110ba54ba,41,1
0x009B,3;11,5d46f607059e,5d46f607059e,42,1
0x009C,3;7;10;11,0b09af1e84c7,837697eb3226,43,1
0x009D,3;7;10,0dfe10589c18,0dfe10589c18,44,1
0x009E,3;10,13e586b17463,8e1fbe6fed3e,45,1
