sample,seconds,command,chip,address,value,note
0,0.0,0x54,YM2151,0x14,0x35,
3,6.802721088435374e-05,0x54,YM2151,0x60,0x7F,
7,0.00015873015873015873,0x54,YM2151,0x70,0x7F,
11,0.00024943310657596373,0x54,YM2151,0x68,0x7F,
15,0.0003401360544217687,0x54,YM2151,0x78,0x7F,
35,0.0007936507936507937,0x54,YM2151,0x61,0x7F,
39,0.0008843537414965987,0x54,YM2151,0x71,0x7F,
43,0.0009750566893424037,0x54,YM2151,0x69,0x7F,
47,0.0010657596371882086,0x54,YM2151,0x79,0x7F,
67,0.0015192743764172335,0x54,YM2151,0x62,0x7F,
71,0.0016099773242630386,0x54,YM2151,0x72,0x7F,
75,0.0017006802721088435,0x54,YM2151,0x6A,0x7F,
79,0.0017913832199546486,0x54,YM2151,0x7A,0x7F,
99,0.0022448979591836735,0x54,YM2151,0x63,0x7F,
103,0.0023356009070294786,0x54,YM2151,0x73,0x7F,
107,0.0024263038548752833,0x54,YM2151,0x6B,0x7F,
111,0.0025170068027210884,0x54,YM2151,0x7B,0x7F,
131,0.0029705215419501135,0x54,YM2151,0x64,0x7F,
135,0.003061224489795918,0x54,YM2151,0x74,0x7F,
139,0.0031519274376417233,0x54,YM2151,0x6C,0x7F,
143,0.0032426303854875284,0x54,YM2151,0x7C,0x7F,
163,0.003696145124716553,0x54,YM2151,0x65,0x7F,
167,0.0037868480725623582,0x54,YM2151,0x75,0x7F,
171,0.0038775510204081634,0x54,YM2151,0x6D,0x7F,
175,0.003968253968253968,0x54,YM2151,0x7D,0x7F,
195,0.004421768707482994,0x54,YM2151,0x66,0x7F,
199,0.004512471655328798,0x54,YM2151,0x76,0x7F,
203,0.004603174603174603,0x54,YM2151,0x6E,0x7F,
207,0.004693877551020408,0x54,YM2151,0x7E,0x7F,
227,0.005147392290249433,0x54,YM2151,0x67,0x7F,
231,0.005238095238095238,0x54,YM2151,0x77,0x7F,
235,0.005328798185941043,0x54,YM2151,0x6F,0x7F,
239,0.005419501133786848,0x54,YM2151,0x7F,0x7F,
255,0.005782312925170068,0x54,YM2151,0x0F,0x00,
256,0.005804988662131519,0x54,YM2151,0x18,0x00,
258,0.005850340136054422,0x54,YM2151,0x19,0x80,
259,0.005873015873015873,0x54,YM2151,0x19,0x00,
261,0.005918367346938775,0x54,YM2151,0x1B,0x00,
262,0.005941043083900227,0x54,YM2151,0x1B,0x40,
299,0.006780045351473923,0x54,YM2151,0x98,0x00,
300,0.006802721088435374,0x54,YM2151,0xB8,0x00,
302,0.0068480725623582765,0x54,YM2151,0xD8,0x00,
303,0.006870748299319728,0x54,YM2151,0xF8,0x00,
306,0.0069387755102040816,0x54,YM2151,0x38,0x00,
307,0.006961451247165533,0x54,YM2151,0x08,0x00,
335,0.007596371882086168,0x54,YM2151,0x99,0x00,
336,0.007619047619047619,0x54,YM2151,0xB9,0x00,
338,0.007664399092970522,0x54,YM2151,0xD9,0x00,
339,0.0076870748299319724,0x54,YM2151,0xF9,0x00,
342,0.007755102040816327,0x54,YM2151,0x39,0x00,
343,0.0077777777777777776,0x54,YM2151,0x08,0x01,
371,0.008412698412698413,0x54,YM2151,0x9A,0x00,
372,0.008435374149659863,0x54,YM2151,0xBA,0x00,
374,0.008480725623582767,0x54,YM2151,0xDA,0x00,
375,0.008503401360544218,0x54,YM2151,0xFA,0x00,
378,0.008571428571428572,0x54,YM2151,0x3A,0x00,
379,0.008594104308390022,0x54,YM2151,0x08,0x02,
407,0.009229024943310658,0x54,YM2151,0x9B,0x00,
408,0.00925170068027211,0x54,YM2151,0xBB,0x00,
410,0.009297052154195011,0x54,YM2151,0xDB,0x00,
411,0.009319727891156463,0x54,YM2151,0xFB,0x00,
414,0.009387755102040816,0x54,YM2151,0x3B,0x00,
415,0.009410430839002268,0x54,YM2151,0x08,0x03,
443,0.010045351473922902,0x54,YM2151,0x9C,0x00,
444,0.010068027210884354,0x54,YM2151,0xBC,0x00,
446,0.010113378684807257,0x54,YM2151,0xDC,0x00,
447,0.010136054421768707,0x54,YM2151,0xFC,0x00,
450,0.01020408163265306,0x54,YM2151,0x3C,0x00,
451,0.010226757369614512,0x54,YM2151,0x08,0x04,
479,0.010861678004535148,0x54,YM2151,0x9D,0x00,
480,0.010884353741496598,0x54,YM2151,0xBD,0x00,
482,0.010929705215419501,0x54,YM2151,0xDD,0x00,
483,0.010952380952380953,0x54,YM2151,0xFD,0x00,
486,0.011020408163265306,0x54,YM2151,0x3D,0x00,
487,0.011043083900226758,0x54,YM2151,0x08,0x05,
515,0.011678004535147392,0x54,YM2151,0x9E,0x00,
516,0.011700680272108844,0x54,YM2151,0xBE,0x00,
518,0.011746031746031746,0x54,YM2151,0xDE,0x00,
519,0.011768707482993197,0x54,YM2151,0xFE,0x00,
522,0.01183673469387755,0x54,YM2151,0x3E,0x00,
523,0.011859410430839002,0x54,YM2151,0x08,0x06,
551,0.012494331065759636,0x54,YM2151,0x9F,0x00,
552,0.012517006802721088,0x54,YM2151,0xBF,0x00,
554,0.012562358276643992,0x54,YM2151,0xDF,0x00,
555,0.012585034013605442,0x54,YM2151,0xFF,0x00,
558,0.012653061224489797,0x54,YM2151,0x3F,0x00,
559,0.012675736961451247,0x54,YM2151,0x08,0x07,
616,0.013968253968253968,0x54,YM2151,0x1B,0x00,
625,0.01417233560090703,0x54,YM2151,0x1B,0x40,
43957,0.9967573696145124,0x54,YM2151,0xE0,0x7F,
43958,0.9967800453514739,0x54,YM2151,0xE8,0x6F,
43960,0.9968253968253968,0x54,YM2151,0xF0,0x8F,
43961,0.9968480725623583,0x54,YM2151,0xF8,0x0F,
44051,0.9988888888888889,0x54,YM2151,0xE1,0x7F,
44052,0.9989115646258503,0x54,YM2151,0xE9,0x6F,
44054,0.9989569160997732,0x54,YM2151,0xF1,0x8F,
44055,0.9989795918367347,0x54,YM2151,0xF9,0x0F,
44482,1.0086621315192743,0x54,YM2151,0x28,0x58,
44484,1.0087074829931972,0x54,YM2151,0x30,0x1C,
44486,1.0087528344671202,0x54,YM2151,0x20,0xF9,
44489,1.0088208616780046,0x54,YM2151,0x40,0x12,
44492,1.008888888888889,0x54,YM2151,0x60,0x3F,
44494,1.0089342403628119,0x54,YM2151,0x80,0x0D,
44495,1.0089569160997733,0x54,YM2151,0xA0,0x01,
44497,1.009002267573696,0x54,YM2151,0xC0,0x02,
44498,1.0090249433106575,0x54,YM2151,0xE0,0x73,
44500,1.0090702947845804,0x54,YM2151,0x48,0x28,
44504,1.0091609977324263,0x54,YM2151,0x68,0x22,
44505,1.0091836734693878,0x54,YM2151,0x88,0x10,
44507,1.0092290249433107,0x54,YM2151,0xA8,0x01,
44508,1.0092517006802721,0x54,YM2151,0xC8,0x02,
44510,1.009297052154195,0x54,YM2151,0xE8,0x84,
44513,1.0093650793650795,0x54,YM2151,0x50,0x34,
44516,1.0094331065759636,0x54,YM2151,0x70,0x1F,
44518,1.0094784580498866,0x54,YM2151,0x90,0x11,
44519,1.009501133786848,0x54,YM2151,0xB0,0x01,
44521,1.009546485260771,0x54,YM2151,0xD0,0x02,
44522,1.0095691609977324,0x54,YM2151,0xF0,0x63,
44525,1.0096371882086168,0x54,YM2151,0x58,0x16,
44528,1.0097052154195012,0x54,YM2151,0x78,0x25,
44530,1.0097505668934241,0x54,YM2151,0x98,0x13,
44531,1.0097732426303856,0x54,YM2151,0xB8,0x01,
44533,1.0098185941043083,0x54,YM2151,0xD8,0x02,
44534,1.0098412698412698,0x54,YM2151,0xF8,0x08,
44539,1.009954648526077,0x54,YM2151,0x08,0x78,
44550,1.010204081632653,0x54,YM2151,0x29,0x48,
44552,1.010249433106576,0x54,YM2151,0x31,0x1C,
44554,1.0102947845804988,0x54,YM2151,0x21,0xF9,
44558,1.0103854875283447,0x54,YM2151,0x41,0x12,
44561,1.010453514739229,0x54,YM2151,0x61,0x3F,
44562,1.0104761904761905,0x54,YM2151,0x81,0x0D,
44564,1.0105215419501135,0x54,YM2151,0xA1,0x01,
44565,1.010544217687075,0x54,YM2151,0xC1,0x02,
44567,1.0105895691609976,0x54,YM2151,0xE1,0x73,
44569,1.0106349206349206,0x54,YM2151,0x49,0x28,
44572,1.010702947845805,0x54,YM2151,0x69,0x22,
