sample,seconds,command,chip,address,value,note
0,0.0,0x54,YM2151,0x14,0x35,
3,6.802721088435374e-05,0x54,YM2151,0x60,0x7F,
7,0.00015873015873015873,0x54,YM2151,0x70,0x7F,
11,0.00024943310657596373,0x54,YM2151,0x68,0x7F,
15,0.0003401360544217687,0x54,YM2151,0x78,0x7F,
35,0.0007936507936507937,0x54,YM2151,0x61,0x7F,
39,0.0008843537414965987,0x54,YM2151,0x71,0x7F,
43,0.0009750566893424037,0x54,YM2151,0x69,0x7F,
47,0.0010657596371882086,0x54,YM2151,0x79,0x7F,
67,0.0015192743764172335,0x54,YM2151,0x62,0x7F,
71,0.0016099773242630386,0x54,YM2151,0x72,0x7F,
75,0.0017006802721088435,0x54,YM2151,0x6A,0x7F,
79,0.0017913832199546486,0x54,YM2151,0x7A,0x7F,
99,0.0022448979591836735,0x54,YM2151,0x63,0x7F,
103,0.0023356009070294786,0x54,YM2151,0x73,0x7F,
107,0.0024263038548752833,0x54,YM2151,0x6B,0x7F,
111,0.0025170068027210884,0x54,YM2151,0x7B,0x7F,
131,0.0029705215419501135,0x54,YM2151,0x64,0x7F,
135,0.003061224489795918,0x54,YM2151,0x74,0x7F,
139,0.0031519274376417233,0x54,YM2151,0x6C,0x7F,
143,0.0032426303854875284,0x54,YM2151,0x7C,0x7F,
163,0.003696145124716553,0x54,YM2151,0x65,0x7F,
167,0.0037868480725623582,0x54,YM2151,0x75,0x7F,
171,0.0038775510204081634,0x54,YM2151,0x6D,0x7F,
175,0.003968253968253968,0x54,YM2151,0x7D,0x7F,
195,0.004421768707482994,0x54,YM2151,0x66,0x7F,
199,0.004512471655328798,0x54,YM2151,0x76,0x7F,
203,0.004603174603174603,0x54,YM2151,0x6E,0x7F,
207,0.004693877551020408,0x54,YM2151,0x7E,0x7F,
227,0.005147392290249433,0x54,YM2151,0x67,0x7F,
231,0.005238095238095238,0x54,YM2151,0x77,0x7F,
235,0.005328798185941043,0x54,YM2151,0x6F,0x7F,
239,0.005419501133786848,0x54,YM2151,0x7F,0x7F,
255,0.005782312925170068,0x54,YM2151,0x0F,0x00,
256,0.005804988662131519,0x54,YM2151,0x18,0x00,
258,0.005850340136054422,0x54,YM2151,0x19,0x80,
259,0.005873015873015873,0x54,YM2151,0x19,0x00,
261,0.005918367346938775,0x54,YM2151,0x1B,0x00,
262,0.005941043083900227,0x54,YM2151,0x1B,0x40,
299,0.006780045351473923,0x54,YM2151,0x98,0x00,
300,0.006802721088435374,0x54,YM2151,0xB8,0x00,
302,0.0068480725623582765,0x54,YM2151,0xD8,0x00,
303,0.006870748299319728,0x54,YM2151,0xF8,0x00,
306,0.0069387755102040816,0x54,YM2151,0x38,0x00,
307,0.006961451247165533,0x54,YM2151,0x08,0x00,
335,0.007596371882086168,0x54,YM2151,0x99,0x00,
336,0.007619047619047619,0x54,YM2151,0xB9,0x00,
338,0.007664399092970522,0x54,YM2151,0xD9,0x00,
339,0.0076870748299319724,0x54,YM2151,0xF9,0x00,
342,0.007755102040816327,0x54,YM2151,0x39,0x00,
343,0.0077777777777777776,0x54,YM2151,0x08,0x01,
371,0.008412698412698413,0x54,YM2151,0x9A,0x00,
372,0.008435374149659863,0x54,YM2151,0xBA,0x00,
374,0.008480725623582767,0x54,YM2151,0xDA,0x00,
375,0.008503401360544218,0x54,YM2151,0xFA,0x00,
378,0.008571428571428572,0x54,YM2151,0x3A,0x00,
379,0.008594104308390022,0x54,YM2151,0x08,0x02,
407,0.009229024943310658,0x54,YM2151,0x9B,0x00,
408,0.00925170068027211,0x54,YM2151,0xBB,0x00,
410,0.009297052154195011,0x54,YM2151,0xDB,0x00,
411,0.009319727891156463,0x54,YM2151,0xFB,0x00,
414,0.009387755102040816,0x54,YM2151,0x3B,0x00,
415,0.009410430839002268,0x54,YM2151,0x08,0x03,
443,0.010045351473922902,0x54,YM2151,0x9C,0x00,
444,0.010068027210884354,0x54,YM2151,0xBC,0x00,
446,0.010113378684807257,0x54,YM2151,0xDC,0x00,
447,0.010136054421768707,0x54,YM2151,0xFC,0x00,
450,0.01020408163265306,0x54,YM2151,0x3C,0x00,
451,0.010226757369614512,0x54,YM2151,0x08,0x04,
479,0.010861678004535148,0x54,YM2151,0x9D,0x00,
480,0.010884353741496598,0x54,YM2151,0xBD,0x00,
482,0.010929705215419501,0x54,YM2151,0xDD,0x00,
483,0.010952380952380953,0x54,YM2151,0xFD,0x00,
486,0.011020408163265306,0x54,YM2151,0x3D,0x00,
487,0.011043083900226758,0x54,YM2151,0x08,0x05,
515,0.011678004535147392,0x54,YM2151,0x9E,0x00,
516,0.011700680272108844,0x54,YM2151,0xBE,0x00,
518,0.011746031746031746,0x54,YM2151,0xDE,0x00,
519,0.011768707482993197,0x54,YM2151,0xFE,0x00,
522,0.01183673469387755,0x54,YM2151,0x3E,0x00,
523,0.011859410430839002,0x54,YM2151,0x08,0x06,
551,0.012494331065759636,0x54,YM2151,0x9F,0x00,
552,0.012517006802721088,0x54,YM2151,0xBF,0x00,
554,0.012562358276643992,0x54,YM2151,0xDF,0x00,
555,0.012585034013605442,0x54,YM2151,0xFF,0x00,
558,0.012653061224489797,0x54,YM2151,0x3F,0x00,
559,0.012675736961451247,0x54,YM2151,0x08,0x07,
616,0.013968253968253968,0x54,YM2151,0x1B,0x00,
625,0.01417233560090703,0x54,YM2151,0x1B,0x40,
3507,0.07952380952380952,0x54,YM2151,0xE0,0xEF,
3508,0.07954648526077097,0x54,YM2151,0xE8,0x0F,
3510,0.07959183673469387,0x54,YM2151,0xF0,0x0F,
3511,0.07961451247165532,0x54,YM2151,0xF8,0x0F,
3613,0.08192743764172336,0x54,YM2151,0xE1,0xEF,
3614,0.08195011337868481,0x54,YM2151,0xE9,0x0F,
3616,0.08199546485260771,0x54,YM2151,0xF1,0x0F,
3617,0.08201814058956916,0x54,YM2151,0xF9,0x0F,
3719,0.08433106575963718,0x54,YM2151,0xE2,0xEF,
3720,0.08435374149659863,0x54,YM2151,0xEA,0x0F,
3722,0.08439909297052155,0x54,YM2151,0xF2,0x0F,
3723,0.084421768707483,0x54,YM2151,0xFA,0x0F,
3858,0.08748299319727891,0x54,YM2151,0xE4,0xEF,
3859,0.08750566893424036,0x54,YM2151,0xEC,0x0F,
3861,0.08755102040816326,0x54,YM2151,0xF4,0x0F,
3862,0.08757369614512471,0x54,YM2151,0xFC,0x0F,
4020,0.09115646258503401,0x54,YM2151,0x28,0x4A,
4022,0.09120181405895691,0x54,YM2151,0x30,0x1C,
4024,0.09124716553287981,0x54,YM2151,0x20,0xF9,
4027,0.09131519274376418,0x54,YM2151,0x40,0x3A,
4030,0.09138321995464853,0x54,YM2151,0x60,0x00,
4032,0.09142857142857143,0x54,YM2151,0x80,0x1F,
4033,0.09145124716553288,0x54,YM2151,0xA0,0x01,
4035,0.09149659863945578,0x54,YM2151,0xC0,0x40,
4038,0.09156462585034014,0x54,YM2151,0x48,0x2F,
4042,0.09165532879818594,0x54,YM2151,0x68,0x27,
4043,0.09167800453514739,0x54,YM2151,0x88,0x9F,
4045,0.09172335600907029,0x54,YM2151,0xA8,0x1A,
4046,0.09174603174603174,0x54,YM2151,0xC8,0x95,
4048,0.09179138321995464,0x54,YM2151,0xE8,0x01,
4051,0.091859410430839,0x54,YM2151,0x50,0x11,
4054,0.09192743764172336,0x54,YM2151,0x70,0x2F,
4056,0.09197278911564626,0x54,YM2151,0x90,0xD8,
4057,0.0919954648526077,0x54,YM2151,0xB0,0x01,
4059,0.0920408163265306,0x54,YM2151,0xD0,0x5F,
4060,0.09206349206349207,0x54,YM2151,0xF0,0x01,
4063,0.09213151927437642,0x54,YM2151,0x58,0x73,
4066,0.09219954648526077,0x54,YM2151,0x78,0x0A,
4068,0.09224489795918367,0x54,YM2151,0x98,0xDF,
4069,0.09226757369614512,0x54,YM2151,0xB8,0x05,
4071,0.09231292517006803,0x54,YM2151,0xD8,0x49,
4072,0.09233560090702948,0x54,YM2151,0xF8,0x01,
4077,0.09244897959183673,0x54,YM2151,0x08,0x78,
4088,0.0926984126984127,0x54,YM2151,0x29,0x4D,
4090,0.0927437641723356,0x54,YM2151,0x31,0xF4,
4092,0.0927891156462585,0x54,YM2151,0x21,0xF9,
