channel,midi_note,furnace_note,start_sample,end_sample,start_row,end_row
1,61,109,4149,10547,5,14
2,60,108,6279,13452,8,18
1,62,110,12767,19217,17,26
2,61,109,14948,22122,20,30
1,68,116,21436,27888,29,37
2,66,114,23618,30795,32,41
1,61,109,30108,36560,40,49
2,60,108,32288,39466,43,53
1,62,110,38776,45228,52,61
2,61,109,40961,48133,55,65
1,68,116,47447,53899,64,73
2,66,114,49629,56804,67,77
1,61,109,56117,62570,76,85
2,60,108,58304,65474,79,89
1,62,110,64789,71239,88,96
2,61,109,66971,74144,91,100
1,68,116,73458,79910,99,108
2,66,114,75640,82817,102,112
1,61,109,82128,88580,111,120
2,60,108,84313,91485,114,124
1,62,110,90800,97254,123,132
2,61,109,92981,100157,126,136
1,68,116,99469,105925,135,144
2,66,114,101654,106660,138,145
0,62,110,4080,107500,5,146
1,61,109,108242,114591,147,155
2,60,108,111046,118219,151,160
1,62,110,116811,123263,158,167
2,61,109,119715,126892,162,172
1,68,116,125481,131932,170,179
2,66,114,128386,135562,174,184
1,61,109,134153,140603,182,191
2,60,108,137056,144232,186,196
1,62,110,142823,149273,194,203
2,61,109,145727,152904,198,208
1,68,116,151494,157945,206,214
2,66,114,154398,161572,210,219
1,61,109,160162,166613,217,226
2,60,108,163066,170241,221,231
1,62,110,168833,175284,229,238
2,61,109,171739,178912,233,243
1,68,116,177504,183954,241,250
2,66,114,180408,187582,245,255
1,61,109,186174,192625,253,262
2,60,108,189078,196254,257,267
1,62,110,194843,201298,265,273
2,61,109,197749,204923,269,278
3,38,86,108326,206443,147,280
4,44,92,108395,206467,147,280
5,26,74,108464,206491,147,280
7,25,73,108603,206546,147,281
1,68,116,203514,209967,276,285
6,14,62,108533,210774,147,286
2,66,114,206419,211427,280,287
0,62,110,108174,211599,147,287
1,61,109,212237,218636,288,297
2,60,108,215813,222989,293,303
1,62,110,220856,227306,300,309
2,61,109,224483,231658,305,315
1,68,116,229528,235977,312,321
2,66,114,233153,240328,317,326
1,61,109,238199,244648,324,332
2,60,108,241826,248998,329,338
1,62,110,246868,253317,335,344
2,61,109,250495,257670,340,350
1,68,116,255536,261988,347,356
2,66,114,259165,266340,352,362
1,61,109,264207,270661,359,368
2,60,108,267839,275010,364,374
1,62,110,272877,279330,371,380
2,61,109,276504,283679,376,385
1,68,116,281547,287999,383,391
2,66,114,285177,292350,387,397
1,61,109,290219,296672,394,403
2,60,108,293846,301020,399,409
1,62,110,298890,305342,406,415
2,61,109,302516,309693,411,421
1,68,116,307559,314014,418,427
0,62,110,212168,315599,288,429
2,66,114,311189,316318,423,430
1,61,109,316301,322683,430,439
2,60,108,320580,327754,436,445
1,62,110,324901,331353,442,450
2,61,109,329252,336424,447,457
1,68,116,333571,340022,453,462
2,66,114,337921,345096,459,469
1,61,109,342242,348692,465,474
2,60,108,346591,353765,471,481
1,62,110,350911,357364,477,486
2,61,109,355263,362440,483,493
1,68,116,359581,366035,489,498
2,66,114,363934,371106,495,504
1,61,109,368252,374706,501,509
2,60,108,372604,379778,506,516
1,62,110,376923,383374,512,521
2,61,109,381274,388449,518,528
1,68,116,385594,392044,524,533
2,66,114,389941,397119,530,540
1,61,109,394264,400715,536,545
2,60,108,398615,405787,542,552
1,62,110,402934,409387,548,556
2,61,109,407285,414460,554,563
3,38,86,316386,414484,430,563
4,44,92,316455,414508,430,563
5,26,74,316524,414532,430,563
7,25,73,316661,414588,430,564
6,14,62,316593,415270,430,564
1,68,116,411604,418057,560,568
0,62,110,316233,419504,430,570
2,66,114,415955,420959,565,572
