sample,address_hex,value_hex
0,0x14,0x35
3,0x60,0x7F
7,0x70,0x7F
11,0x68,0x7F
15,0x78,0x7F
35,0x61,0x7F
39,0x71,0x7F
43,0x69,0x7F
47,0x79,0x7F
67,0x62,0x7F
71,0x72,0x7F
75,0x6A,0x7F
79,0x7A,0x7F
99,0x63,0x7F
103,0x73,0x7F
107,0x6B,0x7F
111,0x7B,0x7F
131,0x64,0x7F
135,0x74,0x7F
139,0x6C,0x7F
143,0x7C,0x7F
163,0x65,0x7F
167,0x75,0x7F
171,0x6D,0x7F
175,0x7D,0x7F
195,0x66,0x7F
199,0x76,0x7F
203,0x6E,0x7F
207,0x7E,0x7F
227,0x67,0x7F
231,0x77,0x7F
235,0x6F,0x7F
239,0x7F,0x7F
255,0x0F,0x00
256,0x18,0x00
258,0x19,0x80
259,0x19,0x00
261,0x1B,0x00
262,0x1B,0x40
299,0x98,0x00
300,0xB8,0x00
302,0xD8,0x00
303,0xF8,0x00
306,0x38,0x00
307,0x08,0x00
335,0x99,0x00
336,0xB9,0x00
338,0xD9,0x00
339,0xF9,0x00
342,0x39,0x00
343,0x08,0x01
371,0x9A,0x00
372,0xBA,0x00
374,0xDA,0x00
375,0xFA,0x00
378,0x3A,0x00
379,0x08,0x02
407,0x9B,0x00
408,0xBB,0x00
410,0xDB,0x00
411,0xFB,0x00
414,0x3B,0x00
415,0x08,0x03
443,0x9C,0x00
444,0xBC,0x00
446,0xDC,0x00
447,0xFC,0x00
450,0x3C,0x00
451,0x08,0x04
479,0x9D,0x00
480,0xBD,0x00
482,0xDD,0x00
483,0xFD,0x00
486,0x3D,0x00
487,0x08,0x05
515,0x9E,0x00
516,0xBE,0x00
518,0xDE,0x00
519,0xFE,0x00
522,0x3E,0x00
523,0x08,0x06
551,0x9F,0x00
552,0xBF,0x00
554,0xDF,0x00
555,0xFF,0x00
558,0x3F,0x00
559,0x08,0x07
616,0x1B,0x00
625,0x1B,0x40
3513,0xE0,0x2F
3514,0xE8,0x4F
3516,0xF0,0x2F
3517,0xF8,0x2F
3619,0xE1,0x2F
3620,0xE9,0x4F
3622,0xF1,0x2F
3623,0xF9,0x2F
4022,0x28,0x4E
4024,0x30,0x1C
4026,0x20,0xF9
4030,0x40,0x16
4033,0x60,0x1F
4034,0x80,0x9F
4036,0xA0,0x05
4037,0xC0,0x06
4039,0xE0,0x26
4041,0x48,0x36
4044,0x68,0x17
4046,0x88,0x9D
4047,0xA8,0x03
4049,0xC8,0x04
4050,0xE8,0x25
4053,0x50,0x76
4057,0x70,0x2F
4058,0x90,0x9C
4060,0xB0,0x03
4061,0xD0,0x04
4063,0xF0,0x46
4066,0x58,0x53
4069,0x78,0x0C
4071,0x98,0x9F
4072,0xB8,0x05
4074,0xD8,0x02
4075,0xF8,0x28
4080,0x08,0x78
4091,0x29,0x41
4093,0x31,0x1C
4095,0x21,0xF9
4099,0x41,0x16
4102,0x61,0x1F
4103,0x81,0x9F
4105,0xA1,0x05
4106,0xC1,0x06
4108,0xE1,0x26
4110,0x49,0x36
4113,0x69,0x17
4115,0x89,0x9D
4116,0xA9,0x03
4118,0xC9,0x04
4119,0xE9,0x25
4122,0x51,0x76
4126,0x71,0x2F
4127,0x91,0x9C
4129,0xB1,0x03
4130,0xD1,0x04
4132,0xF1,0x46
4135,0x59,0x53
4138,0x79,0x15
4140,0x99,0x9F
4141,0xB9,0x05
4143,0xD9,0x02
4144,0xF9,0x28
4149,0x08,0x79
4746,0x30,0x24
5469,0x30,0x30
5710,0xE2,0x2F
5711,0xEA,0x4F
5713,0xF2,0x2F
5714,0xFA,0x2F
6190,0x30,0x3C
6221,0x2A,0x40
6223,0x32,0xF4
6225,0x22,0xF9
6229,0x42,0x16
