sample,address_hex,value_hex
0,0x14,0x35
3,0x60,0x7F
7,0x70,0x7F
11,0x68,0x7F
15,0x78,0x7F
35,0x61,0x7F
39,0x71,0x7F
43,0x69,0x7F
47,0x79,0x7F
67,0x62,0x7F
71,0x72,0x7F
75,0x6A,0x7F
79,0x7A,0x7F
99,0x63,0x7F
103,0x73,0x7F
107,0x6B,0x7F
111,0x7B,0x7F
131,0x64,0x7F
135,0x74,0x7F
139,0x6C,0x7F
143,0x7C,0x7F
163,0x65,0x7F
167,0x75,0x7F
171,0x6D,0x7F
175,0x7D,0x7F
195,0x66,0x7F
199,0x76,0x7F
203,0x6E,0x7F
207,0x7E,0x7F
227,0x67,0x7F
231,0x77,0x7F
235,0x6F,0x7F
239,0x7F,0x7F
255,0x0F,0x00
256,0x18,0x00
258,0x19,0x80
259,0x19,0x00
261,0x1B,0x00
262,0x1B,0x40
299,0x98,0x00
300,0xB8,0x00
302,0xD8,0x00
303,0xF8,0x00
306,0x38,0x00
307,0x08,0x00
335,0x99,0x00
336,0xB9,0x00
338,0xD9,0x00
339,0xF9,0x00
342,0x39,0x00
343,0x08,0x01
371,0x9A,0x00
372,0xBA,0x00
374,0xDA,0x00
375,0xFA,0x00
378,0x3A,0x00
379,0x08,0x02
407,0x9B,0x00
408,0xBB,0x00
410,0xDB,0x00
411,0xFB,0x00
414,0x3B,0x00
415,0x08,0x03
443,0x9C,0x00
444,0xBC,0x00
446,0xDC,0x00
447,0xFC,0x00
450,0x3C,0x00
451,0x08,0x04
479,0x9D,0x00
480,0xBD,0x00
482,0xDD,0x00
483,0xFD,0x00
486,0x3D,0x00
487,0x08,0x05
515,0x9E,0x00
516,0xBE,0x00
518,0xDE,0x00
519,0xFE,0x00
522,0x3E,0x00
523,0x08,0x06
551,0x9F,0x00
552,0xBF,0x00
554,0xDF,0x00
555,0xFF,0x00
558,0x3F,0x00
559,0x08,0x07
616,0x1B,0x00
625,0x1B,0x40
3551,0xE1,0x7F
3552,0xE9,0x2F
3554,0xF1,0x7F
3555,0xF9,0x1F
3648,0xE2,0x7F
3649,0xEA,0x2F
3651,0xF2,0x7F
3652,0xFA,0x1F
3745,0xE3,0x7F
3746,0xEB,0x2F
3748,0xF3,0x7F
3749,0xFB,0x1F
3848,0xE4,0x0F
3850,0xEC,0x7F
3851,0xF4,0xDF
3853,0xFC,0xDF
3936,0xE5,0x0F
3937,0xED,0x2F
3939,0xF5,0x2F
3940,0xFD,0x2F
4065,0x29,0x48
4067,0x31,0x1C
4069,0x21,0xCC
4072,0x41,0x39
4075,0x61,0x1C
4077,0x81,0x50
4078,0xA1,0x01
4080,0xC1,0x01
4083,0x49,0x13
4087,0x69,0x17
4088,0x89,0x52
4090,0xA9,0x01
4091,0xC9,0x01
4093,0xE9,0x7A
4096,0x51,0x16
4099,0x71,0x19
4101,0x91,0x50
4103,0xB1,0x01
4104,0xD1,0x00
4106,0xF1,0x2F
4108,0x59,0x23
4112,0x79,0x14
4113,0x99,0x55
4115,0xB9,0x01
4118,0xF9,0x1C
4122,0x08,0x79
4134,0x2A,0x42
4136,0x32,0x1C
4138,0x22,0xCC
4142,0x42,0x39
4145,0x62,0x1C
4146,0x82,0x50
4148,0xA2,0x01
4149,0xC2,0x01
4153,0x4A,0x13
4156,0x6A,0x17
4158,0x8A,0x52
4159,0xAA,0x01
4161,0xCA,0x01
4162,0xEA,0x7A
4165,0x52,0x16
4169,0x72,0x1A
4171,0x92,0x50
4172,0xB2,0x01
4174,0xD2,0x00
4175,0xF2,0x2F
4178,0x5A,0x23
4181,0x7A,0x15
4183,0x9A,0x55
4184,0xBA,0x01
4187,0xFA,0x1C
4192,0x08,0x7A
4203,0x2B,0x3E
