channel,midi_note,furnace_note,start_sample,end_sample,start_row,end_row
5,28,76,4370,4829,5,6
2,40,88,4215,8395,5,11
1,76,124,4146,11991,5,16
2,52,100,11335,15619,15,21
5,28,76,15047,15667,20,21
3,68,116,11403,17086,15,23
4,64,112,11472,17108,15,23
1,76,124,14933,22830,20,31
2,52,100,18560,22847,25,31
3,68,116,18627,24311,25,33
4,64,112,18694,24333,25,33
5,28,76,25935,26505,35,36
2,40,88,25837,30072,35,40
1,76,124,25770,33668,35,45
2,56,104,33011,37295,44,50
5,28,76,36722,37343,49,50
3,69,117,33078,38764,45,52
4,65,113,33145,38786,45,52
1,76,124,36608,43784,49,59
2,56,104,40236,44522,54,60
3,69,117,40303,45989,54,62
4,65,113,40370,46011,54,62
5,28,76,47618,48181,64,65
2,40,88,47517,51747,64,70
1,76,124,47449,55345,64,75
2,49,97,54687,58971,74,80
5,28,76,58399,59019,79,80
3,76,124,54754,60438,74,82
4,61,109,54821,60460,74,82
1,76,124,58285,66182,79,90
2,49,97,61912,66199,84,90
3,76,124,61979,67664,84,92
4,61,109,62046,67686,84,92
5,28,76,69287,69858,94,95
2,40,88,69189,73426,94,99
1,76,124,69122,77020,94,104
2,57,105,76363,80647,103,109
5,28,76,80074,80695,108,109
3,60,108,76430,82116,103,111
4,69,117,76497,82138,104,111
1,76,124,79960,87136,108,118
2,57,105,83590,87153,113,118
3,60,108,83657,89340,113,121
4,69,117,83724,89362,113,121
0,88,136,4077,90209,5,122
5,28,76,91023,91532,123,124
2,40,88,90921,95098,123,129
0,88,136,90783,98173,123,133
1,76,124,90852,98173,123,133
2,52,100,98041,98173,133,134
3,68,116,98109,98173,133,134
