sample,address_hex,value_hex
0,0x14,0x35
3,0x60,0x7F
7,0x70,0x7F
11,0x68,0x7F
15,0x78,0x7F
35,0x61,0x7F
39,0x71,0x7F
43,0x69,0x7F
47,0x79,0x7F
67,0x62,0x7F
71,0x72,0x7F
75,0x6A,0x7F
79,0x7A,0x7F
99,0x63,0x7F
103,0x73,0x7F
107,0x6B,0x7F
111,0x7B,0x7F
131,0x64,0x7F
135,0x74,0x7F
139,0x6C,0x7F
143,0x7C,0x7F
163,0x65,0x7F
167,0x75,0x7F
171,0x6D,0x7F
175,0x7D,0x7F
195,0x66,0x7F
199,0x76,0x7F
203,0x6E,0x7F
207,0x7E,0x7F
227,0x67,0x7F
231,0x77,0x7F
235,0x6F,0x7F
239,0x7F,0x7F
255,0x0F,0x00
256,0x18,0x00
258,0x19,0x80
259,0x19,0x00
261,0x1B,0x00
262,0x1B,0x40
299,0x98,0x00
300,0xB8,0x00
302,0xD8,0x00
303,0xF8,0x00
306,0x38,0x00
307,0x08,0x00
335,0x99,0x00
336,0xB9,0x00
338,0xD9,0x00
339,0xF9,0x00
342,0x39,0x00
343,0x08,0x01
371,0x9A,0x00
372,0xBA,0x00
374,0xDA,0x00
375,0xFA,0x00
378,0x3A,0x00
379,0x08,0x02
407,0x9B,0x00
408,0xBB,0x00
410,0xDB,0x00
411,0xFB,0x00
414,0x3B,0x00
415,0x08,0x03
443,0x9C,0x00
444,0xBC,0x00
446,0xDC,0x00
447,0xFC,0x00
450,0x3C,0x00
451,0x08,0x04
479,0x9D,0x00
480,0xBD,0x00
482,0xDD,0x00
483,0xFD,0x00
486,0x3D,0x00
487,0x08,0x05
515,0x9E,0x00
516,0xBE,0x00
518,0xDE,0x00
519,0xFE,0x00
522,0x3E,0x00
523,0x08,0x06
551,0x9F,0x00
552,0xBF,0x00
554,0xDF,0x00
555,0xFF,0x00
558,0x3F,0x00
559,0x08,0x07
616,0x1B,0x00
625,0x1B,0x40
3453,0x1B,0x80
3460,0x1B,0x40
3485,0x1B,0x80
3512,0xE0,0x7F
3514,0xE8,0x6F
3515,0xF0,0x8F
3517,0xF8,0x0F
3520,0x1B,0x40
3565,0x1B,0x80
3572,0x1B,0x40
3597,0x1B,0x80
3620,0xE1,0xEF
3621,0xE9,0x0F
3623,0xF1,0x0F
3624,0xF9,0x0F
3628,0x1B,0x40
3665,0x1B,0x80
3672,0x1B,0x40
3697,0x1B,0x80
3720,0xE2,0xFF
3721,0xEA,0x0F
3723,0xF2,0x2F
3724,0xFA,0x0F
3728,0x1B,0x40
3765,0x1B,0x80
3777,0x1B,0x40
3811,0x1B,0x80
3823,0x1B,0x40
3858,0x1B,0x80
3865,0x1B,0x40
3890,0x1B,0x80
3913,0xE5,0x1F
3914,0xED,0x2F
3916,0xF5,0x1F
3917,0xFD,0x0F
3921,0x1B,0x40
4020,0x28,0x64
4022,0x30,0x1C
4024,0x20,0xF9
4027,0x40,0x12
4030,0x60,0x3F
4032,0x80,0x0D
4033,0xA0,0x01
4035,0xC0,0x02
4036,0xE0,0x73
4038,0x48,0x28
4042,0x68,0x22
4043,0x88,0x10
4045,0xA8,0x01
4046,0xC8,0x02
4048,0xE8,0x84
4051,0x50,0x34
4054,0x70,0x1F
4056,0x90,0x11
4057,0xB0,0x01
4059,0xD0,0x02
4060,0xF0,0x63
4063,0x58,0x16
4066,0x78,0x11
4068,0x98,0x13
4069,0xB8,0x01
4071,0xD8,0x02
4072,0xF8,0x08
4077,0x08,0x78
4088,0x29,0x54
4090,0x31,0x1C
4092,0x21,0xF9
4096,0x41,0x3A
4099,0x61,0x00
4100,0x81,0x1F
4102,0xA1,0x01
4103,0xC1,0x40
4107,0x49,0x2F
4110,0x69,0x27
