sample,address_hex,value_hex
0,0x14,0x35
3,0x60,0x7F
7,0x70,0x7F
11,0x68,0x7F
15,0x78,0x7F
35,0x61,0x7F
39,0x71,0x7F
43,0x69,0x7F
47,0x79,0x7F
67,0x62,0x7F
71,0x72,0x7F
75,0x6A,0x7F
79,0x7A,0x7F
99,0x63,0x7F
103,0x73,0x7F
107,0x6B,0x7F
111,0x7B,0x7F
131,0x64,0x7F
135,0x74,0x7F
139,0x6C,0x7F
143,0x7C,0x7F
163,0x65,0x7F
167,0x75,0x7F
171,0x6D,0x7F
175,0x7D,0x7F
195,0x66,0x7F
199,0x76,0x7F
203,0x6E,0x7F
207,0x7E,0x7F
227,0x67,0x7F
231,0x77,0x7F
235,0x6F,0x7F
239,0x7F,0x7F
255,0x0F,0x00
256,0x18,0x00
258,0x19,0x80
259,0x19,0x00
261,0x1B,0x00
262,0x1B,0x40
299,0x98,0x00
300,0xB8,0x00
302,0xD8,0x00
303,0xF8,0x00
306,0x38,0x00
307,0x08,0x00
335,0x99,0x00
336,0xB9,0x00
338,0xD9,0x00
339,0xF9,0x00
342,0x39,0x00
343,0x08,0x01
371,0x9A,0x00
372,0xBA,0x00
374,0xDA,0x00
375,0xFA,0x00
378,0x3A,0x00
379,0x08,0x02
407,0x9B,0x00
408,0xBB,0x00
410,0xDB,0x00
411,0xFB,0x00
414,0x3B,0x00
415,0x08,0x03
443,0x9C,0x00
444,0xBC,0x00
446,0xDC,0x00
447,0xFC,0x00
450,0x3C,0x00
451,0x08,0x04
479,0x9D,0x00
480,0xBD,0x00
482,0xDD,0x00
483,0xFD,0x00
486,0x3D,0x00
487,0x08,0x05
515,0x9E,0x00
516,0xBE,0x00
518,0xDE,0x00
519,0xFE,0x00
522,0x3E,0x00
523,0x08,0x06
551,0x9F,0x00
552,0xBF,0x00
554,0xDF,0x00
555,0xFF,0x00
558,0x3F,0x00
559,0x08,0x07
616,0x1B,0x00
625,0x1B,0x40
43957,0xE0,0x7F
43958,0xE8,0x6F
43960,0xF0,0x8F
43961,0xF8,0x0F
44051,0xE1,0x7F
44052,0xE9,0x6F
44054,0xF1,0x8F
44055,0xF9,0x0F
44482,0x28,0x58
44484,0x30,0x1C
44486,0x20,0xF9
44489,0x40,0x12
44492,0x60,0x3F
44494,0x80,0x0D
44495,0xA0,0x01
44497,0xC0,0x02
44498,0xE0,0x73
44500,0x48,0x28
44504,0x68,0x22
44505,0x88,0x10
44507,0xA8,0x01
44508,0xC8,0x02
44510,0xE8,0x84
44513,0x50,0x34
44516,0x70,0x1F
44518,0x90,0x11
44519,0xB0,0x01
44521,0xD0,0x02
44522,0xF0,0x63
44525,0x58,0x16
44528,0x78,0x25
44530,0x98,0x13
44531,0xB8,0x01
44533,0xD8,0x02
44534,0xF8,0x08
44539,0x08,0x78
44550,0x29,0x48
44552,0x31,0x1C
44554,0x21,0xF9
44558,0x41,0x12
44561,0x61,0x3F
44562,0x81,0x0D
44564,0xA1,0x01
44565,0xC1,0x02
44567,0xE1,0x73
44569,0x49,0x28
44572,0x69,0x22
44574,0x89,0x10
44575,0xA9,0x01
44577,0xC9,0x02
44578,0xE9,0x84
44581,0x51,0x34
44585,0x71,0x1F
44586,0x91,0x11
44588,0xB1,0x01
44589,0xD1,0x02
44591,0xF1,0x63
44594,0x59,0x16
44597,0x79,0x25
44599,0x99,0x13
44600,0xB9,0x01
44602,0xD9,0x02
44603,0xF9,0x08
44608,0x08,0x79
45206,0x30,0x2C
45223,0x31,0x2C
45929,0x30,0x40
45946,0x31,0x40
46652,0x30,0x54
46669,0x31,0x54
47375,0x30,0x68
47392,0x31,0x68
48096,0x30,0x08
48113,0x31,0x08
48818,0x28,0x56
48821,0x30,0xF4
