channel,midi_note,furnace_note,start_sample,end_sample,start_row,end_row
0,70,118,4077,8363,5,11
4,62,110,4327,8426,5,11
1,61,109,4146,9099,5,12
2,69,117,4215,9116,5,12
0,70,118,11302,15589,15,21
4,62,110,11519,15652,15,21
1,61,109,11369,16325,15,22
2,69,117,11436,16342,15,22
3,61,109,14965,20692,20,28
5,69,117,15049,20724,20,28
0,70,118,18528,22812,25,31
4,62,110,18745,22875,25,31
1,61,109,18595,23552,25,32
2,69,117,18662,23569,25,32
3,61,109,22189,27918,30,37
5,69,117,22272,27950,30,38
0,60,108,25754,30037,35,40
4,72,120,25971,30100,35,40
1,62,110,25821,30777,35,41
2,70,118,25888,30794,35,41
3,61,109,29415,35141,40,47
5,69,117,29498,35173,40,47
0,60,108,32980,37263,44,50
4,72,120,33197,37326,45,50
1,62,110,33047,38003,44,51
2,70,118,33114,38020,45,51
3,62,110,36637,42369,49,57
5,70,118,36720,42401,49,57
0,68,116,40205,44488,54,60
4,60,108,40422,44551,54,60
1,70,118,40272,45228,54,61
2,66,114,40339,45245,54,61
3,62,110,43863,49592,59,67
5,70,118,43946,49624,59,67
3,70,118,51088,56818,69,77
5,66,114,51171,56850,69,77
5,25,73,77854,78527,105,106
5,25,73,82189,82861,111,112
5,25,73,86523,87195,117,118
5,25,73,90861,91530,123,124
5,25,73,95195,95867,129,130
5,25,73,99529,100201,135,136
5,25,73,103867,104536,141,142
5,25,73,108201,108873,147,148
5,25,73,112534,113206,153,154
5,25,73,116870,117542,159,160
5,25,73,121208,121876,164,165
5,25,73,125543,126214,170,171
5,25,73,129878,130548,176,177
5,25,73,134210,134883,182,183
5,25,73,138548,139218,188,189
5,25,73,142941,143553,194,195
4,37,85,142873,144262,194,196
5,14,62,147269,147889,200,201
4,26,74,147202,148595,200,202
5,25,73,151604,152224,206,207
4,37,85,151537,152933,206,208
5,14,62,155939,156559,212,213
4,26,74,155872,157268,212,213
5,25,73,160274,160894,218,219
4,37,85,160207,161603,217,219
5,14,62,164610,165230,223,224
4,26,74,164543,165936,223,225
5,25,73,168944,169564,229,230
4,37,85,168877,170273,229,231
5,14,62,173280,173900,235,236
4,26,74,173213,174609,235,237
5,25,73,177616,178236,241,242
4,37,85,177549,178941,241,243
5,14,62,181951,182571,247,248
4,26,74,181884,183278,247,249
5,25,73,186285,186904,253,254
4,37,85,186218,187612,253,255
5,14,62,190622,191242,259,260
4,26,74,190555,191949,259,261
5,25,73,194957,195576,265,266
4,37,85,194890,196283,265,267
5,14,62,199292,199910,271,272
4,26,74,199225,200617,271,272
5,26,74,203628,204246,277,278
4,38,86,203561,204953,276,278
5,14,62,207963,208581,282,283
4,26,74,207896,209288,282,284
5,25,73,212303,212916,288,289
4,37,85,212236,213624,288,290
5,14,62,216633,217253,294,295
4,26,74,216566,217958,294,296
5,25,73,220967,221587,300,301
4,37,85,220900,222296,300,302
5,14,62,225302,225922,306,307
4,26,74,225235,226631,306,308
5,25,73,229638,230258,312,313
4,37,85,229571,230964,312,314
5,14,62,233974,234594,318,319
4,26,74,233907,235299,318,320
5,25,73,238308,238928,324,325
4,37,85,238241,239637,324,326
5,14,62,242643,243263,330,331
4,26,74,242576,243972,330,331
5,25,73,246979,247599,336,337
4,37,85,246912,248305,335,337
5,14,62,251314,251934,341,342
4,26,74,251247,252641,341,343
5,25,73,255648,256268,347,348
4,37,85,255581,256976,347,349
5,14,62,259983,260603,353,354
4,26,74,259916,261314,353,355
5,25,73,264319,264938,359,360
4,37,85,264252,265646,359,361
5,14,62,268654,269276,365,366
4,26,74,268587,269983,365,367
5,12,60,272989,273611,371,372
4,24,72,272922,274318,371,373
5,14,62,277324,277946,377,378
4,26,74,277257,278653,377,379
5,25,73,281664,282279,383,384
4,37,85,281597,282988,383,385
5,14,62,285995,286614,389,390
4,26,74,285928,287323,389,390
5,25,73,290331,290951,395,396
4,37,85,290264,291657,394,396
5,14,62,294665,295285,400,401
4,26,74,294598,295994,400,402
5,25,73,299002,299622,406,407
4,37,85,298935,300327,406,408
5,14,62,303337,303957,412,413
4,26,74,303270,304662,412,414
5,25,73,307671,308291,418,419
4,37,85,307604,309000,418,420
5,14,62,312006,312626,424,425
4,26,74,311939,313335,424,426
5,25,73,316341,316961,430,431
4,37,85,316274,317670,430,432
5,14,62,320678,321298,436,437
4,26,74,320611,322004,436,438
5,25,73,325012,325632,442,443
4,37,85,324945,326340,442,444
5,14,62,329348,329968,448,449
4,26,74,329281,330676,448,449
5,25,73,333684,334303,453,454
4,37,85,333617,335010,453,455
5,14,62,338018,338637,459,460
4,26,74,337951,339344,459,461
5,26,74,342354,342972,465,466
4,38,86,342287,343679,465,467
5,14,62,346688,347307,471,472
4,26,74,346621,348017,471,473
5,25,73,351023,351645,477,478
4,37,85,350956,352352,477,479
5,14,62,355360,355978,483,484
4,26,74,355293,356685,483,485
5,25,73,359693,360314,489,490
4,37,85,359626,361021,489,491
5,14,62,364028,364649,495,496
4,26,74,363961,365356,495,497
5,25,73,368363,368985,501,502
4,37,85,368296,369692,501,502
5,14,62,372700,373318,507,508
4,26,74,372633,374028,506,508
5,25,73,377034,377656,512,513
4,37,85,376967,378363,512,514
5,14,62,381369,381991,518,519
4,26,74,381302,382698,518,520
5,25,73,385705,386324,524,525
4,37,85,385638,387034,524,526
5,14,62,390041,390659,530,531
4,26,74,389974,391367,530,532
5,25,73,394377,394995,536,537
4,37,85,394310,395702,536,538
5,14,62,398712,399330,542,543
4,26,74,398645,400037,542,544
5,25,73,403045,403667,548,549
4,37,85,402978,404374,548,550
5,14,62,407380,408002,554,555
4,26,74,407313,408709,554,556
5,12,60,411716,412335,560,561
4,24,72,411649,413045,560,561
4,26,74,415984,416655,565,566
5,14,62,416051,416672,566,567
4,37,85,420534,420999,572,573
5,25,73,420603,421736,572,573
4,26,74,424660,425337,577,578
5,14,62,424727,426070,577,579
4,37,85,428997,429669,583,584
5,25,73,429064,430405,583,585
4,26,74,433334,434006,589,590
5,14,62,433401,434742,589,591
4,37,85,437666,438337,595,596
5,25,73,437733,439080,595,597
4,26,74,442001,442674,601,602
5,14,62,442068,443411,601,603
4,37,85,446333,447008,607,608
5,25,73,446400,447752,607,609
4,26,74,450671,451346,613,614
5,14,62,450738,452081,613,615
4,37,85,455007,455681,619,620
5,25,73,455074,456420,619,620
4,26,74,459349,460015,624,625
5,14,62,459416,460756,625,626
4,37,85,463680,464350,630,631
5,25,73,463747,465088,630,632
4,26,74,468016,468686,636,637
5,14,62,468083,469422,636,638
4,37,85,472351,473022,642,643
5,25,73,472418,473757,642,644
4,26,74,476686,477354,648,649
5,14,62,476753,478092,648,650
2,49,97,420396,480391,571,653
3,37,85,420465,480445,572,653
4,38,86,481120,481693,654,655
5,26,74,481187,482430,654,656
2,49,97,480986,484722,654,659
3,37,85,481053,484770,654,659
4,26,74,485453,486026,660,661
5,14,62,485520,486762,660,662
0,73,121,420258,489009,571,665
1,49,97,420327,489062,571,665
2,38,86,485319,489114,660,665
3,26,74,485386,489167,660,665
4,37,85,489890,490363,666,667
5,25,73,489957,491100,666,668
4,26,74,494023,494700,672,673
5,14,62,494090,495433,672,674
4,37,85,498361,499030,678,679
5,25,73,498428,499770,678,679
4,26,74,502696,503369,683,684
5,14,62,502763,504105,684,685
4,37,85,507030,507701,689,690
5,25,73,507097,508444,689,691
4,26,74,511365,512038,695,696
5,14,62,511432,512775,695,697
4,37,85,515696,516371,701,702
5,25,73,515763,517115,701,703
4,26,74,520036,520708,707,708
5,14,62,520103,521447,707,709
4,37,85,524370,525045,713,714
5,25,73,524437,525781,713,715
4,26,74,528710,529379,719,720
5,14,62,528777,530116,719,721
4,37,85,533043,533716,725,726
5,25,73,533110,534450,725,727
4,26,74,537379,538049,731,732
5,14,62,537446,538785,731,733
2,49,97,489756,541086,666,736
3,37,85,489823,541138,666,736
4,37,85,541815,542384,737,738
5,25,73,541882,543121,737,738
2,49,97,541681,545411,736,742
3,37,85,541748,545459,737,742
4,26,74,546149,546718,743,744
5,14,62,546216,547455,743,744
2,38,86,546015,549748,742,747
3,26,74,546082,549796,742,748
4,24,72,550482,551055,748,749
5,12,60,550549,551792,749,750
2,36,84,550348,554084,748,753
3,24,72,550415,554132,748,753
4,26,74,554817,555390,754,755
5,14,62,554884,556126,754,756
0,72,120,489621,558370,666,759
1,49,97,489688,558423,666,759
2,38,86,554683,558475,754,759
3,26,74,554750,558527,754,759
4,37,85,559255,559728,760,761
5,25,73,559322,560461,760,762
4,26,74,563388,564064,766,767
5,14,62,563455,564798,766,768
0,72,120,558986,567045,760,771
1,49,97,559053,567097,760,771
4,37,85,567825,568395,772,773
5,25,73,567892,569132,772,774
4,26,74,572059,572734,778,779
5,14,62,572126,573466,778,780
4,37,85,576394,577064,784,785
5,25,73,576461,577806,784,786
4,26,74,580729,581401,790,791
5,14,62,580796,582138,790,792
4,37,85,585063,585734,796,797
5,25,73,585130,586476,796,797
4,26,74,589399,590070,801,802
5,14,62,589466,590809,801,803
4,37,85,593731,594405,807,808
5,25,73,593798,595144,807,809
4,26,74,598072,598742,813,814
5,14,62,598139,599480,813,815
4,37,85,602404,603077,819,820
5,25,73,602471,603815,819,821
4,26,74,606747,607410,825,826
5,14,62,606814,608152,825,827
4,37,85,611076,611752,831,832
5,25,73,611143,612483,831,833
4,26,74,615411,616084,837,838
5,14,62,615478,616818,837,839
2,49,97,559121,619120,760,842
3,37,85,559188,619173,760,842
4,38,86,619846,620419,843,844
5,26,74,619913,621154,843,845
2,49,97,619712,623447,843,848
3,37,85,619779,623495,843,848
4,26,74,624183,624752,849,850
5,14,62,624250,625489,849,851
2,38,86,624049,627802,849,854
3,26,74,624116,627855,849,854
4,37,85,628517,629086,855,856
5,25,73,628584,629827,855,856
4,26,74,632750,633425,860,861
5,14,62,632817,634159,860,862
4,37,85,637086,637759,866,867
5,25,73,637153,638498,866,868
4,26,74,641420,642099,872,873
5,14,62,641487,642831,872,874
4,37,85,645758,646431,878,879
5,25,73,645825,647169,878,880
4,26,74,650095,650764,884,885
5,14,62,650162,651503,884,886
4,37,85,654428,655100,890,891
5,25,73,654495,655841,890,892
4,26,74,658761,659437,896,897
5,14,62,658828,660171,896,898
4,37,85,663100,663769,902,903
5,25,73,663167,664506,902,904
4,26,74,667437,668104,908,909
5,14,62,667504,668843,908,909
4,37,85,671769,672439,913,914
5,25,73,671836,673178,914,915
4,26,74,676105,676776,919,920
5,14,62,676172,677512,919,921
2,49,97,628383,679807,854,924
3,37,85,628450,679860,855,924
4,37,85,680539,681109,925,926
5,25,73,680606,681851,925,927
2,49,97,680405,684140,925,930
3,37,85,680472,684188,925,930
4,26,74,684874,685444,931,932
5,14,62,684941,686186,931,933
2,38,86,684740,688475,931,936
3,26,74,684807,688523,931,936
4,24,72,689208,689783,937,938
5,12,60,689275,690519,937,939
2,36,84,689074,692808,937,942
3,24,72,689141,692856,937,942
4,26,74,693543,694118,943,944
5,14,62,693610,694857,943,945
0,73,121,567656,697097,772,948
1,49,97,567723,697149,772,948
2,38,86,693409,697248,943,948
3,26,74,693476,697349,943,948
4,37,85,697982,698450,949,950
5,25,73,698049,699192,949,951
3,37,85,697914,699879,949,952
2,61,109,697845,701489,949,954
4,26,74,702214,702787,955,956
5,14,62,702281,703527,955,957
3,44,92,702147,704217,955,958
2,68,116,702080,705825,955,960
4,37,85,706550,707121,961,962
5,25,73,706617,707864,961,963
3,46,94,706483,708552,961,964
2,70,118,706416,710158,961,966
4,26,74,710887,711455,967,968
5,14,62,710954,712198,967,968
3,36,84,710820,712887,967,969
2,60,108,710753,714496,967,972
4,37,85,715221,715792,973,974
5,25,73,715288,716532,973,974
3,46,94,715154,717222,972,975
2,70,118,715087,718831,972,978
4,26,74,719556,720127,978,979
5,14,62,719623,720870,979,980
3,42,90,719489,721560,978,981
2,66,114,719422,723157,978,983
4,37,85,723886,724461,984,985
5,25,73,723953,725206,984,986
3,44,92,723819,725893,984,987
2,68,116,723752,727495,984,989
4,26,74,728226,728799,990,991
5,14,62,728293,729538,990,992
3,38,86,728159,730228,990,993
2,62,110,728092,731833,990,995
4,37,85,732561,733134,996,997
5,25,73,732628,733876,996,998
3,41,89,732494,734561,996,999
2,65,113,732427,736170,996,1001
4,26,74,736897,737467,1002,1003
5,14,62,736964,738212,1002,1004
3,37,85,736830,738896,1002,1005
2,61,109,736763,740504,1002,1007
4,37,85,741233,741806,1008,1009
5,25,73,741300,742544,1008,1010
3,38,86,741166,743233,1008,1011
2,62,110,741099,744844,1008,1013
4,26,74,745567,746139,1014,1015
5,14,62,745634,746879,1014,1016
3,26,74,745500,747566,1014,1017
2,50,98,745433,749172,1014,1019
4,37,85,749902,750473,1020,1021
5,25,73,749969,751216,1020,1022
3,37,85,749835,751904,1020,1022
2,61,109,749768,753510,1020,1025
4,26,74,754240,754807,1026,1027
5,14,62,754307,755551,1026,1027
3,24,72,754173,756237,1026,1028
2,48,96,754106,757849,1025,1031
4,38,86,758573,759144,1032,1033
5,26,74,758640,759884,1032,1033
3,26,74,758506,760577,1031,1034
2,50,98,758439,762183,1031,1036
4,26,74,762907,763478,1037,1038
5,14,62,762974,764221,1038,1039
3,37,85,762840,764911,1037,1040
2,61,109,762773,766529,1037,1042
4,37,85,767241,767813,1043,1044
5,25,73,767308,768557,1043,1045
3,37,85,767174,769245,1043,1046
2,61,109,767107,770850,1043,1048
4,26,74,771578,772151,1049,1050
5,14,62,771645,772890,1049,1051
3,44,92,771511,773581,1049,1052
2,68,116,771444,775183,1049,1054
4,37,85,775914,776487,1055,1056
5,25,73,775981,777226,1055,1057
3,46,94,775847,777916,1055,1058
2,70,118,775780,779521,1055,1060
4,26,74,780249,780820,1061,1062
5,14,62,780316,781562,1061,1063
3,36,84,780182,782250,1061,1064
2,60,108,780115,783861,1061,1066
4,37,85,784585,785158,1067,1068
5,25,73,784652,785897,1067,1069
4,26,74,788819,789491,1073,1074
5,14,62,788886,790227,1073,1075
4,37,85,793156,793828,1079,1080
5,25,73,793223,794562,1079,1081
4,26,74,797495,798161,1085,1086
5,14,62,797562,798899,1085,1086
4,37,85,801836,802495,1090,1091
5,25,73,801903,803238,1091,1092
4,26,74,806158,806830,1096,1097
5,14,62,806225,807568,1096,1098
4,37,85,810494,811170,1102,1103
5,25,73,810561,811905,1102,1104
4,26,74,814829,815504,1108,1109
5,14,62,814896,816241,1108,1110
4,37,85,819175,819839,1114,1115
5,25,73,819242,820573,1114,1116
4,26,74,823505,824172,1120,1121
5,14,62,823572,824911,1120,1122
4,24,72,827849,828509,1126,1127
5,12,60,827916,829248,1126,1128
4,26,74,832170,832846,1132,1133
5,14,62,832237,833580,1132,1134
0,73,121,697710,835827,949,1137
1,48,96,697777,835879,949,1137
2,70,118,784451,835934,1067,1137
3,46,94,784518,835989,1067,1137
4,37,85,836708,837178,1138,1139
2,61,109,836574,837868,1138,1139
3,37,85,836641,837888,1138,1139
5,25,73,836775,837920,1138,1140
4,26,74,840940,841513,1144,1145
2,68,116,840806,842203,1143,1145
3,44,92,840873,842223,1144,1145
5,14,62,841007,842255,1144,1145
4,37,85,845278,845849,1150,1151
2,70,118,845144,846539,1149,1151
3,46,94,845211,846559,1149,1151
5,25,73,845345,846591,1150,1151
4,26,74,849612,850183,1155,1156
2,60,108,849478,850874,1155,1157
3,36,84,849545,850894,1155,1157
5,14,62,849679,850926,1156,1157
4,37,85,853947,854518,1161,1162
5,25,73,854014,855261,1161,1163
4,26,74,858183,858852,1167,1168
5,14,62,858250,859590,1167,1169
4,37,85,862513,863191,1173,1174
5,25,73,862580,863927,1173,1175
2,70,118,853813,866221,1161,1178
3,46,94,853880,866274,1161,1178
4,26,74,866952,867525,1179,1180
5,14,62,867019,868264,1179,1181
4,37,85,871188,871862,1185,1186
5,25,73,871255,872598,1185,1187
4,26,74,875525,876196,1191,1192
5,14,62,875592,876935,1191,1193
0,73,121,836439,879175,1138,1196
1,49,97,836506,879227,1138,1196
2,68,116,866818,879280,1179,1196
3,44,92,866885,879332,1179,1196
4,37,85,880059,880529,1197,1198
5,25,73,880126,881272,1197,1199
4,26,74,884192,884867,1202,1203
5,14,62,884259,885601,1203,1204
4,37,85,888531,889204,1208,1209
5,25,73,888598,889937,1208,1210
4,26,74,892870,893536,1214,1215
5,14,62,892937,894274,1214,1216
0,77,125,879790,896518,1196,1219
1,37,85,879857,896570,1197,1219
2,65,113,879925,896623,1197,1219
3,41,89,879992,896675,1197,1219
4,38,86,897401,897871,1220,1221
5,26,74,897468,898611,1221,1222
4,26,74,901535,902206,1226,1227
5,14,62,901602,902943,1226,1228
0,82,130,897132,905226,1220,1231
1,37,85,897199,905308,1220,1231
2,50,98,897267,905385,1220,1231
3,26,74,897334,905467,1220,1231
0,49,97,905803,906472,1232,1233
1,37,85,905872,906489,1232,1233
2,37,85,905941,906506,1232,1233
3,37,85,906010,906523,1232,1233
4,37,85,906078,909683,1232,1237
5,25,73,906145,909725,1232,1237
0,49,97,910135,910808,1238,1239
1,37,85,910202,910825,1238,1239
2,37,85,910269,910842,1238,1239
3,37,85,910336,910859,1238,1239
4,37,85,910403,914490,1238,1244
5,25,73,910470,914507,1238,1244
0,50,98,923141,923814,1255,1256
1,38,86,923208,923831,1256,1257
2,38,86,923275,923848,1256,1257
3,38,86,923342,923865,1256,1257
4,38,86,923409,927022,1256,1261
5,26,74,923476,927064,1256,1261
0,50,98,927477,928150,1261,1262
