sample,address_hex,value_hex
0,0x14,0x35
3,0x60,0x7F
7,0x70,0x7F
11,0x68,0x7F
15,0x78,0x7F
35,0x61,0x7F
39,0x71,0x7F
43,0x69,0x7F
47,0x79,0x7F
67,0x62,0x7F
71,0x72,0x7F
75,0x6A,0x7F
79,0x7A,0x7F
99,0x63,0x7F
103,0x73,0x7F
107,0x6B,0x7F
111,0x7B,0x7F
131,0x64,0x7F
135,0x74,0x7F
139,0x6C,0x7F
143,0x7C,0x7F
163,0x65,0x7F
167,0x75,0x7F
171,0x6D,0x7F
175,0x7D,0x7F
195,0x66,0x7F
199,0x76,0x7F
203,0x6E,0x7F
207,0x7E,0x7F
227,0x67,0x7F
231,0x77,0x7F
235,0x6F,0x7F
239,0x7F,0x7F
255,0x0F,0x00
256,0x18,0x00
258,0x19,0x80
259,0x19,0x00
261,0x1B,0x00
262,0x1B,0x40
299,0x98,0x00
300,0xB8,0x00
302,0xD8,0x00
303,0xF8,0x00
306,0x38,0x00
307,0x08,0x00
335,0x99,0x00
336,0xB9,0x00
338,0xD9,0x00
339,0xF9,0x00
342,0x39,0x00
343,0x08,0x01
371,0x9A,0x00
372,0xBA,0x00
374,0xDA,0x00
375,0xFA,0x00
378,0x3A,0x00
379,0x08,0x02
407,0x9B,0x00
408,0xBB,0x00
410,0xDB,0x00
411,0xFB,0x00
414,0x3B,0x00
415,0x08,0x03
443,0x9C,0x00
444,0xBC,0x00
446,0xDC,0x00
447,0xFC,0x00
450,0x3C,0x00
451,0x08,0x04
479,0x9D,0x00
480,0xBD,0x00
482,0xDD,0x00
483,0xFD,0x00
486,0x3D,0x00
487,0x08,0x05
515,0x9E,0x00
516,0xBE,0x00
518,0xDE,0x00
519,0xFE,0x00
522,0x3E,0x00
523,0x08,0x06
551,0x9F,0x00
552,0xBF,0x00
554,0xDF,0x00
555,0xFF,0x00
558,0x3F,0x00
559,0x08,0x07
616,0x1B,0x00
625,0x1B,0x40
3453,0x1B,0x80
3465,0x1B,0x40
3499,0x1B,0x80
3511,0x1B,0x40
3546,0x1B,0x80
3553,0x1B,0x40
3578,0x1B,0x80
3589,0xE2,0x4F
3591,0xEA,0x3F
3592,0xF2,0x4F
3594,0xFA,0x0F
3597,0x1B,0x40
3634,0x1B,0x80
3641,0x1B,0x40
3666,0x1B,0x80
3677,0xE3,0x4F
3679,0xEB,0x3F
3680,0xF3,0x4F
3682,0xFB,0x0F
3685,0x1B,0x40
3722,0x1B,0x80
3729,0x1B,0x40
3754,0x1B,0x80
3765,0xE4,0x0F
3767,0xEC,0x5F
3768,0xF4,0x0F
3770,0xFC,0x9F
3773,0x1B,0x40
3810,0x1B,0x80
3817,0x1B,0x40
3842,0x1B,0x80
3858,0xE5,0x1F
3860,0xED,0x2F
3861,0xF5,0x1F
3863,0xFD,0x0F
3866,0x1B,0x40
4107,0x2A,0x28
4109,0x32,0x1C
4111,0x22,0xFA
4114,0x42,0x70
4117,0x62,0x0F
4119,0x82,0xD6
4120,0xA2,0x01
4122,0xC2,0x03
4123,0xE2,0x46
4125,0x4A,0x50
4129,0x6A,0x15
4130,0x8A,0x95
4132,0xAA,0x01
4133,0xCA,0x02
4135,0xEA,0x46
4138,0x52,0x12
4141,0x72,0x1F
4143,0x92,0x57
4144,0xB2,0x01
4146,0xD2,0x02
4147,0xF2,0x37
4150,0x5A,0x01
4153,0x7A,0x0F
4155,0x9A,0x17
4156,0xBA,0x01
4158,0xDA,0x02
4159,0xFA,0x07
4164,0x08,0x7A
4175,0x2B,0x38
4177,0x33,0x1C
4179,0x23,0xFA
4183,0x43,0x70
4186,0x63,0x0F
4187,0x83,0xD6
4189,0xA3,0x01
4190,0xC3,0x03
4192,0xE3,0x46
