sample,address_hex,value_hex
0,0x14,0x35
3,0x60,0x7F
7,0x70,0x7F
11,0x68,0x7F
15,0x78,0x7F
35,0x61,0x7F
39,0x71,0x7F
43,0x69,0x7F
47,0x79,0x7F
67,0x62,0x7F
71,0x72,0x7F
75,0x6A,0x7F
79,0x7A,0x7F
99,0x63,0x7F
103,0x73,0x7F
107,0x6B,0x7F
111,0x7B,0x7F
131,0x64,0x7F
135,0x74,0x7F
139,0x6C,0x7F
143,0x7C,0x7F
163,0x65,0x7F
167,0x75,0x7F
171,0x6D,0x7F
175,0x7D,0x7F
195,0x66,0x7F
199,0x76,0x7F
203,0x6E,0x7F
207,0x7E,0x7F
227,0x67,0x7F
231,0x77,0x7F
235,0x6F,0x7F
239,0x7F,0x7F
255,0x0F,0x00
256,0x18,0x00
258,0x19,0x80
259,0x19,0x00
261,0x1B,0x00
262,0x1B,0x40
299,0x98,0x00
300,0xB8,0x00
302,0xD8,0x00
303,0xF8,0x00
306,0x38,0x00
307,0x08,0x00
335,0x99,0x00
336,0xB9,0x00
338,0xD9,0x00
339,0xF9,0x00
342,0x39,0x00
343,0x08,0x01
371,0x9A,0x00
372,0xBA,0x00
374,0xDA,0x00
375,0xFA,0x00
378,0x3A,0x00
379,0x08,0x02
407,0x9B,0x00
408,0xBB,0x00
410,0xDB,0x00
411,0xFB,0x00
414,0x3B,0x00
415,0x08,0x03
443,0x9C,0x00
444,0xBC,0x00
446,0xDC,0x00
447,0xFC,0x00
450,0x3C,0x00
451,0x08,0x04
479,0x9D,0x00
480,0xBD,0x00
482,0xDD,0x00
483,0xFD,0x00
486,0x3D,0x00
487,0x08,0x05
515,0x9E,0x00
516,0xBE,0x00
518,0xDE,0x00
519,0xFE,0x00
522,0x3E,0x00
523,0x08,0x06
551,0x9F,0x00
552,0xBF,0x00
554,0xDF,0x00
555,0xFF,0x00
558,0x3F,0x00
559,0x08,0x07
616,0x1B,0x00
625,0x1B,0x40
3507,0xE0,0xEF
3508,0xE8,0x0F
3510,0xF0,0x0F
3511,0xF8,0x0F
3613,0xE1,0xEF
3614,0xE9,0x0F
3616,0xF1,0x0F
3617,0xF9,0x0F
3719,0xE2,0xEF
3720,0xEA,0x0F
3722,0xF2,0x0F
3723,0xFA,0x0F
3858,0xE4,0xEF
3859,0xEC,0x0F
3861,0xF4,0x0F
3862,0xFC,0x0F
4020,0x28,0x4A
4022,0x30,0x1C
4024,0x20,0xF9
4027,0x40,0x3A
4030,0x60,0x00
4032,0x80,0x1F
4033,0xA0,0x01
4035,0xC0,0x40
4038,0x48,0x2F
4042,0x68,0x27
4043,0x88,0x9F
4045,0xA8,0x1A
4046,0xC8,0x95
4048,0xE8,0x01
4051,0x50,0x11
4054,0x70,0x2F
4056,0x90,0xD8
4057,0xB0,0x01
4059,0xD0,0x5F
4060,0xF0,0x01
4063,0x58,0x73
4066,0x78,0x0A
4068,0x98,0xDF
4069,0xB8,0x05
4071,0xD8,0x49
4072,0xF8,0x01
4077,0x08,0x78
4088,0x29,0x4D
4090,0x31,0xF4
4092,0x21,0xF9
4096,0x41,0x3A
4099,0x61,0x00
4100,0x81,0x1F
4102,0xA1,0x01
4103,0xC1,0x40
4107,0x49,0x2F
4110,0x69,0x27
4112,0x89,0x9F
4113,0xA9,0x1A
4115,0xC9,0x95
4116,0xE9,0x01
4119,0x51,0x11
4123,0x71,0x2F
4124,0x91,0xD8
4126,0xB1,0x01
4127,0xD1,0x5F
4129,0xF1,0x01
4132,0x59,0x73
4135,0x79,0x0D
4137,0x99,0xDF
4138,0xB9,0x05
4140,0xD9,0x49
4141,0xF9,0x01
4146,0x08,0x79
4157,0x2A,0x49
4159,0x32,0xF4
4161,0x22,0xF9
