channel,midi_note,furnace_note,start_sample,end_sample,start_row,end_row
7,49,97,4612,121438,6,165
6,37,85,119788,130794,162,177
7,37,85,121972,133001,165,180
6,38,86,131350,142361,178,193
7,38,86,133532,144559,181,196
6,44,92,142908,153919,194,209
7,44,92,145092,156114,197,212
6,38,86,154468,165474,210,225
7,38,86,156651,167667,213,228
6,37,85,166027,177062,225,240
7,37,85,168211,179242,228,243
5,54,102,4500,188627,6,256
5,74,122,189133,200127,257,272
5,80,128,200693,211688,273,288
5,77,125,212260,223245,288,303
5,74,122,223813,234807,304,319
5,77,125,235374,246367,320,335
5,80,128,246942,257932,335,350
6,26,74,177587,304194,241,413
7,26,74,179774,306390,244,416
6,37,85,304754,315750,414,429
7,37,85,306942,317947,417,432
6,38,86,316319,327309,430,445
7,38,86,318497,329512,433,448
6,44,92,327873,338871,446,461
7,44,92,330061,341071,449,464
6,38,86,339438,350433,461,476
7,38,86,341626,352634,464,479
6,37,85,351002,362022,477,492
7,37,85,353180,364200,480,495
0,50,98,4207,373412,5,508
2,56,104,4319,373492,5,508
3,26,74,4388,373546,5,508
5,62,110,258494,373621,351,508
6,26,74,362557,373665,493,508
1,49,97,6264,375601,8,511
7,26,74,364739,375780,496,511
4,49,97,7035,376507,9,512
5,74,122,374251,385091,509,523
5,80,128,385662,396654,524,539
5,77,125,397222,408222,540,555
5,74,122,408781,419780,556,571
5,77,125,420342,431336,571,586
5,80,128,431905,442894,587,602
6,24,72,374318,442934,509,602
7,24,72,376350,445113,512,605
6,26,74,443531,450141,603,612
7,26,74,445663,452336,606,615
6,34,82,450705,458090,613,623
7,34,82,452888,460284,616,626
6,30,78,458651,466071,624,634
7,30,78,460836,468248,626,637
0,48,96,374016,558374,508,759
2,53,101,374100,558453,508,759
3,24,72,374167,558505,509,759
5,72,120,443464,558584,603,759
6,28,76,466599,558624,634,760
1,61,109,376199,560570,511,762
7,28,76,468790,560743,637,762
4,58,106,376973,561480,512,763
0,57,105,558984,650856,760,885
2,50,98,559068,650932,760,885
3,33,81,559135,650980,760,885
5,81,129,559219,651055,760,885
6,25,73,559286,651095,760,885
1,62,110,561170,653050,763,888
7,25,73,561323,653224,763,888
4,56,104,561944,653958,764,889
6,24,72,651774,720369,886,980
7,24,72,653806,722569,889,983
0,58,106,651470,743345,886,1011
2,52,100,651554,743425,886,1011
3,34,82,651621,743479,886,1011
5,72,120,651707,743554,886,1011
6,12,60,720931,743599,980,1011
1,64,112,653655,745538,889,1014
7,12,60,723116,745717,983,1014
4,58,106,654429,746442,890,1015
6,14,62,744258,751439,1012,1022
7,14,62,746290,753638,1015,1025
5,74,122,744191,755032,1012,1027
6,25,73,752005,759387,1023,1033
7,25,73,754185,761585,1026,1036
0,49,97,743954,928316,1012,1263
2,54,102,744038,928395,1012,1263
3,25,73,744105,928447,1012,1263
6,13,61,759951,929125,1033,1264
1,61,109,746139,930504,1015,1265
7,13,61,762133,931211,1036,1266
4,49,97,746913,931368,1016,1267
6,61,109,952143,963141,1295,1310
7,60,108,956496,967504,1301,1316
6,62,110,963704,974715,1311,1326
7,62,110,968055,979063,1317,1332
6,68,116,975272,986256,1326,1341
7,68,116,979618,990626,1332,1347
6,62,110,986824,997829,1342,1357
