sample,address_hex,value_hex
0,0x14,0x35
3,0x60,0x7F
7,0x70,0x7F
11,0x68,0x7F
15,0x78,0x7F
35,0x61,0x7F
39,0x71,0x7F
43,0x69,0x7F
47,0x79,0x7F
67,0x62,0x7F
71,0x72,0x7F
75,0x6A,0x7F
79,0x7A,0x7F
99,0x63,0x7F
103,0x73,0x7F
107,0x6B,0x7F
111,0x7B,0x7F
131,0x64,0x7F
135,0x74,0x7F
139,0x6C,0x7F
143,0x7C,0x7F
163,0x65,0x7F
167,0x75,0x7F
171,0x6D,0x7F
175,0x7D,0x7F
195,0x66,0x7F
199,0x76,0x7F
203,0x6E,0x7F
207,0x7E,0x7F
227,0x67,0x7F
231,0x77,0x7F
235,0x6F,0x7F
239,0x7F,0x7F
255,0x0F,0x00
256,0x18,0x00
258,0x19,0x80
259,0x19,0x00
261,0x1B,0x00
262,0x1B,0x40
299,0x98,0x00
300,0xB8,0x00
302,0xD8,0x00
303,0xF8,0x00
306,0x38,0x00
307,0x08,0x00
335,0x99,0x00
336,0xB9,0x00
338,0xD9,0x00
339,0xF9,0x00
342,0x39,0x00
343,0x08,0x01
371,0x9A,0x00
372,0xBA,0x00
374,0xDA,0x00
375,0xFA,0x00
378,0x3A,0x00
379,0x08,0x02
407,0x9B,0x00
408,0xBB,0x00
410,0xDB,0x00
411,0xFB,0x00
414,0x3B,0x00
415,0x08,0x03
443,0x9C,0x00
444,0xBC,0x00
446,0xDC,0x00
447,0xFC,0x00
450,0x3C,0x00
451,0x08,0x04
479,0x9D,0x00
480,0xBD,0x00
482,0xDD,0x00
483,0xFD,0x00
486,0x3D,0x00
487,0x08,0x05
515,0x9E,0x00
516,0xBE,0x00
518,0xDE,0x00
519,0xFE,0x00
522,0x3E,0x00
523,0x08,0x06
551,0x9F,0x00
552,0xBF,0x00
554,0xDF,0x00
555,0xFF,0x00
558,0x3F,0x00
559,0x08,0x07
616,0x1B,0x00
625,0x1B,0x40
3454,0x1B,0x80
3461,0x1B,0x40
3486,0x1B,0x80
3513,0xE0,0x7F
3515,0xE8,0x6F
3516,0xF0,0x8F
3518,0xF8,0x0F
3521,0x1B,0x40
3566,0x1B,0x80
3572,0x1B,0x40
3607,0x1B,0x80
3614,0x1B,0x40
3639,0x1B,0x80
3666,0xE2,0x7F
3668,0xEA,0x6F
3669,0xF2,0x8F
3671,0xFA,0x0F
3674,0x1B,0x40
3719,0x1B,0x80
3726,0x1B,0x40
3751,0x1B,0x80
3778,0xE3,0x7F
3780,0xEB,0x6F
3781,0xF3,0x8F
3783,0xFB,0x0F
3786,0x1B,0x40
3831,0x1B,0x80
3837,0x1B,0x40
3872,0x1B,0x80
3879,0x1B,0x40
3904,0x1B,0x80
3938,0xE5,0x7F
3940,0xED,0x6F
3941,0xF5,0x8F
3943,0xFD,0x0F
3946,0x1B,0x40
3991,0x1B,0x80
4003,0x1B,0x40
4037,0x1B,0x80
4044,0x1B,0x40
4069,0x1B,0x80
4104,0xE7,0x7F
4106,0xEF,0x6F
4107,0xF7,0x8F
4109,0xFF,0x0F
4112,0x1B,0x40
4150,0x28,0x3E
4152,0x30,0x1C
4154,0x20,0xF9
4157,0x40,0x12
4160,0x60,0x3F
4162,0x80,0x0D
4163,0xA0,0x01
4165,0xC0,0x02
4166,0xE0,0x73
4168,0x48,0x28
4172,0x68,0x22
4173,0x88,0x10
4175,0xA8,0x01
4176,0xC8,0x02
4178,0xE8,0x84
4181,0x50,0x34
4184,0x70,0x1F
4186,0x90,0x11
4187,0xB0,0x01
4189,0xD0,0x02
4190,0xF0,0x63
4193,0x58,0x16
4196,0x78,0x20
4198,0x98,0x13
4199,0xB8,0x01
4201,0xD8,0x02
4202,0xF8,0x08
